NCT,Sentence,Subject,Predicate,Object,Source,Thoughts
NCT03020030,Pegaspargase is a chemotherapy drug that is an important part of ALL treatment but it is also can cause many side effects.,PEGaspargase,CAUSES,Adverse effects,UMLS,
,,,,,,
NCT00042341,Phase II Study of Clofarabine in Pediatric Acute Lymphoblastic Leukemia (ALL),Clofarabine,PART_OF,Phase 2 Clinical Trials,UMLS,Not official UMLS relationship
NCT00042341,Clofarabine (injection) is approved by the Food and Drug Administration (FDA) for the treatment of pediatric patients 1 to 21 years old with relapsed acute lymphoblastic leukemia (ALL) who have had at least 2 prior treatment regimens.,Clofarabine,ISA,Third line treatment,UMLS,
NCT00042341,Clofarabine (injection) is approved by the Food and Drug Administration (FDA) for the treatment of pediatric patients 1 to 21 years old with relapsed acute lymphoblastic leukemia (ALL) who have had at least 2 prior treatment regimens.,Clofarabine,TREATS,Recurrent childhood acute lymphoblastic leukemia,UMLS,
NCT00042341,The purpose of this study is to determine whether Clofarabine is safe and effective in the treatment of Acute Lymphoblastic Leukemia (ALL.),Purpose of study,MEASURES,Identify product efficacy and safety issues,UMLS,
NCT00042341,"This is a non-randomized, open label, Phase II study of Clofarabine in pediatric patients with refractory or relapsed acute lymphoblastic leukemia (ALL). Eligible patients must be in second or subsequent relapse or be refractory.",Clofarabine,TREATS,Refractory childhood acute lymphoblastic leukemia,UMLS,
NCT00042341,"This is a non-randomized, open label, Phase II study of Clofarabine in pediatric patients with refractory or relapsed acute lymphoblastic leukemia (ALL). Eligible patients must be in second or subsequent relapse or be refractory.",Recurrent childhood acute lymphoblastic leukemia,ASSOCIATED_WITH,Phase 2 Clinical Trials,UMLS,
NCT00042341,"This is a non-randomized, open label, Phase II study of Clofarabine in pediatric patients with refractory or relapsed acute lymphoblastic leukemia (ALL). Eligible patients must be in second or subsequent relapse or be refractory.",Refractory childhood acute lymphoblastic leukemia,ASSOCIATED_WITH,Phase 2 Clinical Trials,UMLS,
,,,,,,
NCT02228096,Study of Efficacy and Safety of CTL019 in Pediatric ALL Patients,Purpose of study,MEASURES,Identify product efficacy and safety issues,UMLS,
NCT02228096,"This is a single arm, open-label, multi-center, phase II study to determine the efficacy and safety of an experimental therapy called CTL019 T-cells in pediatric patients with B-cell acute lymphoblastic leukemia, who are refractory to standard chemotherapy regimen or relapsed after allogeneic stem cell transplant",CTL019 T-cells,TREATS,Refractory childhood acute lymphoblastic leukemia,UMLS,CTL019 T-cells is atom with main concept of CD19CAR-CD3zeta-4-1BB-expressing autologous T lymphocytes
NCT02228096,"This is a single arm, open-label, multi-center, phase II study to determine the efficacy and safety of an experimental therapy called CTL019 T-cells in pediatric patients with B-cell acute lymphoblastic leukemia, who are refractory to standard chemotherapy regimen or relapsed after allogeneic stem cell transplant",Allogeneic hematopoietic stem cell transplant,PRECEDES,Recurrent childhood acute lymphoblastic leukemia,UMLS,Ideally would say recurrent ALL follows bone marrow transplant (or have some relationship of timing of relapse)
NCT02228096,"This is a single arm, open-label, multi-center, phase II study to determine the efficacy and safety of an experimental therapy called CTL019 T-cells in pediatric patients with B-cell acute lymphoblastic leukemia, who are refractory to standard chemotherapy regimen or relapsed after allogeneic stem cell transplant",CTL019 T-cells,TREATS,Recurrent childhood acute lymphoblastic leukemia,UMLS,Ideally would say recurrent ALL post BMT
NCT02228096,"This is a single arm, open-label, multi-center, phase II study to determine the efficacy and safety of an experimental therapy called CTL019 T-cells in pediatric patients with B-cell acute lymphoblastic leukemia, who are refractory to standard chemotherapy regimen or relapsed after allogeneic stem cell transplant",CTL019 T-cells,PART_OF,Phase 2 Clinical Trials,UMLS,
,,,,,,
NCT02819804,Nivolumab and Dasatinib in Treating Patients With Relapsed or Refractory Philadelphia Chromosome Positive Acute Lymphoblastic Leukemia,Refractory disease,OCCURS_IN,Philadelphia chromosome-positive acute lymphoblastic leukemia,UMLS,
NCT02819804,Nivolumab and Dasatinib in Treating Patients With Relapsed or Refractory Philadelphia Chromosome Positive Acute Lymphoblastic Leukemia,Recurrent disease,OCCURS_IN,Philadelphia chromosome-positive acute lymphoblastic leukemia,UMLS,
NCT02819804,Nivolumab and Dasatinib in Treating Patients With Relapsed or Refractory Philadelphia Chromosome Positive Acute Lymphoblastic Leukemia,*Treatment Protocols (NCT02819804)*,CHEMOTHERAPY_REGIMEN_HAS_COMPONENT,Nivolumab,NCI Thesaurus,
NCT02819804,Nivolumab and Dasatinib in Treating Patients With Relapsed or Refractory Philadelphia Chromosome Positive Acute Lymphoblastic Leukemia,*Treatment Protocols (NCT02819804)*,CHEMOTHERAPY_REGIMEN_HAS_COMPONENT,Dasatinib,NCI Thesaurus,
NCT02819804,Nivolumab and Dasatinib in Treating Patients With Relapsed or Refractory Philadelphia Chromosome Positive Acute Lymphoblastic Leukemia,Nivolumab,PART_OF,*Treatment Protocols (NCT02819804)*,UMLS,
NCT02819804,Nivolumab and Dasatinib in Treating Patients With Relapsed or Refractory Philadelphia Chromosome Positive Acute Lymphoblastic Leukemia,Dasatinib,PART_OF,*Treatment Protocols (NCT02819804)*,UMLS,
NCT02819804,Nivolumab and Dasatinib in Treating Patients With Relapsed or Refractory Philadelphia Chromosome Positive Acute Lymphoblastic Leukemia,*Treatment Protocols (NCT02819804)*,TREATS,*Philadelphia chromosome-positive acute lymphoblastic leukemia (Recurrent / Refractory)*,UMLS,Need to specify treats relapsed/refractory; need UMLS concept for relapsed Ph+ ALL
NCT02819804,"Dasatinib is currently FDA approved for the treatment of Ph+ ALL, but has not yet been investigated in combination with nivolumab for this disease. ",Dasatinib,TREATS,Philadelphia chromosome-positive acute lymphoblastic leukemia,UMLS,
NCT02819804,"Dasatinib is currently FDA approved for the treatment of Ph+ ALL, but has not yet been investigated in combination with nivolumab for this disease. ",Dasatinib,*ADMINISTERED_WITH*,Nivolumab,New,Not official relationship
NCT02819804,"There is evidence that dasatinib not only blocks the Philadelphia chromosome or breakpoint cluster region-Abelson murine leukemia viral oncogene homolog 1 (BCR-ABL) mutation, but also increases the activity of cells in your immune system. ",Dasatinib,AFFECTS,Philadelphia chromosome,UMLS,NCI relationship of Chemical_Or_Drug_Affects_Gene_Product is better
NCT02819804,"There is evidence that dasatinib not only blocks the Philadelphia chromosome or breakpoint cluster region-Abelson murine leukemia viral oncogene homolog 1 (BCR-ABL) mutation, but also increases the activity of cells in your immune system. ",Dasatinib,AFFECTS,BCR-ABL Fusion Gene,UMLS,NCI relationship of Chemical_Or_Drug_Affects_Gene_Product is better
NCT02819804,"There is evidence that dasatinib not only blocks the Philadelphia chromosome or breakpoint cluster region-Abelson murine leukemia viral oncogene homolog 1 (BCR-ABL) mutation, but also increases the activity of cells in your immune system. ",Dasatinib,AFFECTS,Immune System,UMLS,
NCT02819804,"Nivolumab increases T cells in your immune system, which allows your immune system to attack the cancer. ",Nivolumab,STIMULATES,T lymphocytes,UMLS,NCI relationship of Chemical_Or_Drug_Affects_Cell_Type_Or_Tissue is better
NCT02819804,"Nivolumab increases T cells in your immune system, which allows your immune system to attack the cancer. ",Immune System,DISRUPTS,Malignant neoplasms,UMLS,
NCT02819804,Phase Ib Study of Nivolumab and Dasatinib in Patients With Relapsed/Refractory Philadelphia Chromosome Positive Acute Lymphoblastic Leukemia (Ph+ ALL),*Treatment Protocols (NCT02819804)*,ISA,Phase I Clinical Trials,UMLS,don't have phase Ib specific UMLS term
NCT02819804,Phase Ib Study of Nivolumab and Dasatinib in Patients With Relapsed/Refractory Philadelphia Chromosome Positive Acute Lymphoblastic Leukemia (Ph+ ALL),Nivolumab,PART_OF,Phase I Clinical Trials,UMLS,
NCT02819804,Phase Ib Study of Nivolumab and Dasatinib in Patients With Relapsed/Refractory Philadelphia Chromosome Positive Acute Lymphoblastic Leukemia (Ph+ ALL),Dasatinib,PART_OF,Phase I Clinical Trials,UMLS,
,,,,,,
NCT01471782,Clinical Study With Blinatumomab in Pediatric and Adolescent Patients With Relapsed/Refractory B-precursor Acute Lymphoblastic Leukemia,Blinatumomab,TREATS,Recurrent childhood acute lymphoblastic leukemia,UMLS,
NCT01471782,Clinical Study With Blinatumomab in Pediatric and Adolescent Patients With Relapsed/Refractory B-precursor Acute Lymphoblastic Leukemia,Blinatumomab,TREATS,Refractory childhood acute lymphoblastic leukemia,UMLS,
NCT01471782,Clinical Study With Blinatumomab in Pediatric and Adolescent Patients With Relapsed/Refractory B-precursor Acute Lymphoblastic Leukemia,Blinatumomab,PART_OF,*Clinical study (NCT01471782)*,UMLS,
NCT01471782,Clinical Study With Blinatumomab in Pediatric and Adolescent Patients With Relapsed/Refractory B-precursor Acute Lymphoblastic Leukemia,*Clinical study (NCT01471782)*,TREATS,Recurrent childhood acute lymphoblastic leukemia,UMLS,
NCT01471782,Clinical Study With Blinatumomab in Pediatric and Adolescent Patients With Relapsed/Refractory B-precursor Acute Lymphoblastic Leukemia,*Clinical study (NCT01471782)*,TREATS,Refractory childhood acute lymphoblastic leukemia,UMLS,
NCT01471782,The purpose of this study is to determine the dose of the bispecific T cell engager blinatumomab (MT103) in pediatric and adolescent patients with relapsed/refractory acute lymphoblastic leukemia (ALL) and to assess whether this dose of blinatumomab is effective.,Purpose of study,ANALYZES,Dosage,UMLS,Not UMLS relationship
NCT01471782,The purpose of this study is to determine the dose of the bispecific T cell engager blinatumomab (MT103) in pediatric and adolescent patients with relapsed/refractory acute lymphoblastic leukemia (ALL) and to assess whether this dose of blinatumomab is effective.,Purpose of study,MEASURES,Treatment Effectiveness,UMLS,
NCT01471782,Childhood acute lymphoblastic leukemia (ALL) is a type of cancer of the blood and bone marrow in which the bone marrow makes too many abnormal immature lymphocytes.,Bone marrow,LOCATION_OF,Childhood Acute Lymphoblastic Leukemia,UMLS,No concept for just childhood acute lymphoblastic leukemia
NCT01471782,Childhood acute lymphoblastic leukemia (ALL) is a type of cancer of the blood and bone marrow in which the bone marrow makes too many abnormal immature lymphocytes.,Blood,LOCATION_OF,Childhood Acute Lymphoblastic Leukemia,UMLS,
NCT01471782,Childhood acute lymphoblastic leukemia (ALL) is a type of cancer of the blood and bone marrow in which the bone marrow makes too many abnormal immature lymphocytes.,Bone marrow,PRODUCES,Immature lymphocytes,UMLS,
NCT01471782,Childhood acute lymphoblastic leukemia (ALL) is a type of cancer of the blood and bone marrow in which the bone marrow makes too many abnormal immature lymphocytes.,Immature lymphocytes,ASSOCIATED_WITH,Childhood Acute Lymphoblastic Leukemia,UMLS,
NCT01471782,Blinatumomab is a bispecific single-chain antibody construct designed to link B cells and T cells resulting in T cell activation and a cytotoxic T cell response against cluster of differentiation (CD)19 expressing cells.,Blinatumomab,ISA,Single-chain antibody,UMLS,
NCT01471782,Blinatumomab is a bispecific single-chain antibody construct designed to link B cells and T cells resulting in T cell activation and a cytotoxic T cell response against cluster of differentiation (CD)19 expressing cells.,Blinatumomab,ISA,Bispecific antibody,UMLS,
NCT01471782,Blinatumomab is a bispecific single-chain antibody construct designed to link B cells and T cells resulting in T cell activation and a cytotoxic T cell response against cluster of differentiation (CD)19 expressing cells.,Blinatumomab,STIMULATES ,T-cell activation,UMLS,
NCT01471782,Blinatumomab is a bispecific single-chain antibody construct designed to link B cells and T cells resulting in T cell activation and a cytotoxic T cell response against cluster of differentiation (CD)19 expressing cells.,Blinatumomab,STIMULATES,Cytotoxic T-lymphocytes,UMLS,
NCT01471782,Blinatumomab is a bispecific single-chain antibody construct designed to link B cells and T cells resulting in T cell activation and a cytotoxic T cell response against cluster of differentiation (CD)19 expressing cells.,Cytotoxic T-lymphocyte,AFFECTS,Lymphoblast positive for CD19 antigen,UMLS,Inferred lymphoblast but also have concept cell positive for CD19
NCT01471782,Blinatumomab is a bispecific single-chain antibody construct designed to link B cells and T cells resulting in T cell activation and a cytotoxic T cell response against cluster of differentiation (CD)19 expressing cells.,Blinatumomab,AFFECTS,Lymphoblast positive for CD19 antigen,UMLS,
NCT01471782,Blinatumomab is a bispecific single-chain antibody construct designed to link B cells and T cells resulting in T cell activation and a cytotoxic T cell response against cluster of differentiation (CD)19 expressing cells.,Childhood Acute Lymphoblastic Leukemia,Disease_Has_Abrnomal_Cell,Lymphoblast positive for CD19 antigen,NCI Thesaurus,
NCT01471782,"The purpose of this study is to investigate the pharmacokinetics (PK), pharmacodynamics (PD) and safety of escalating doses of blinatumomab in pediatric and adolescent patients with relapsed/refractory B-precursor ALL, to select a dose and to investigate the efficacy and safety of that dose of blinatumomab in the above-mentioned patient population.",Purpose of study,MEASURES,Drug Kinetics,UMLS,
NCT01471782,"The purpose of this study is to investigate the pharmacokinetics (PK), pharmacodynamics (PD) and safety of escalating doses of blinatumomab in pediatric and adolescent patients with relapsed/refractory B-precursor ALL, to select a dose and to investigate the efficacy and safety of that dose of blinatumomab in the above-mentioned patient population.",Purpose of study,MEASURES,Pharmacodynamics,UMLS,
NCT01471782,"The purpose of this study is to investigate the pharmacokinetics (PK), pharmacodynamics (PD) and safety of escalating doses of blinatumomab in pediatric and adolescent patients with relapsed/refractory B-precursor ALL, to select a dose and to investigate the efficacy and safety of that dose of blinatumomab in the above-mentioned patient population.",Purpose of study,MEASURES,Identify product efficacy and safety issues,UMLS,
NCT01471782,The phase 1 part of the study included the evaluation of four dose levels of blinatumomab with comprehensive PK/PD assessments and was separated in 2 parts:,Blinatumomab,PART_OF,"Clinical Trials, Phase I",UMLS,
NCT01471782,The phase 1 part of the study included the evaluation of four dose levels of blinatumomab with comprehensive PK/PD assessments and was separated in 2 parts:,Phase I Clinical Trials,ASSESS,Dosage,UMLS,
NCT01471782,The phase 1 part of the study included the evaluation of four dose levels of blinatumomab with comprehensive PK/PD assessments and was separated in 2 parts:,Phase I Clinical Trials,MEASURES,Drug Kinetics,UMLS,
NCT01471782,The phase 1 part of the study included the evaluation of four dose levels of blinatumomab with comprehensive PK/PD assessments and was separated in 2 parts:,Phase I Clinical Trials,MEASURES,Pharmacodynamics,UMLS,
NCT01471782,"In the phase 2 extension cohort (efficacy phase) of the study, eligible participants less than 18 years were enrolled according to a two-stage design and received blinatumomab at the recommended dose level (5/15 μg/m²/day).",Blinatumomab,PART_OF,Phase 2 Clinical Trials,UMLS,
NCT01471782,"In the phase 2 extension cohort (efficacy phase) of the study, eligible participants less than 18 years were enrolled according to a two-stage design and received blinatumomab at the recommended dose level (5/15 μg/m²/day).",Phase 2 Clinical Trials,MEASURES,Identify product efficacy and safety issues,UMLS,
NCT01471782,A treatment cycle consisted of a continuous intravenous (cIV) infusion over 4 weeks followed by a treatment-free interval of 2 weeks.,Blinatumomab,ASSOCIATED_WITH,Continuous intravenous infusion,UMLS,not real umls relationship
NCT01471782,Participants who achieved complete remission (CR) within 2 cycles of treatment could receive up to 3 additional consolidation cycles of blinatumomab.,In complete remission,PROCESS_OF,Participant,UMLS,
NCT01471782,Participants who achieved complete remission (CR) within 2 cycles of treatment could receive up to 3 additional consolidation cycles of blinatumomab.,Blinatumomab,PART_OF,Consolidation chemotherapy,UMLS,
NCT01471782,"Instead of consolidation cycles with blinatumomab, participants could be withdrawn from blinatumomab treatment to receive chemotherapy or allogeneic HSCT as early as the first cycle, at the discretion of the investigator.",Chemotherapy,TREATS,Recurrent childhood acute lymphoblastic leukemia,UMLS,
NCT01471782,"Instead of consolidation cycles with blinatumomab, participants could be withdrawn from blinatumomab treatment to receive chemotherapy or allogeneic HSCT as early as the first cycle, at the discretion of the investigator.",Allogeneic bone marrow transplantation,TREATS,Recurrent childhood acute lymphoblastic leukemia,UMLS,
NCT01471782,"Instead of consolidation cycles with blinatumomab, participants could be withdrawn from blinatumomab treatment to receive chemotherapy or allogeneic HSCT as early as the first cycle, at the discretion of the investigator.",Chemotherapy,TREATS,Refractory childhood acute lymphoblastic leukemia,UMLS,
NCT01471782,"Instead of consolidation cycles with blinatumomab, participants could be withdrawn from blinatumomab treatment to receive chemotherapy or allogeneic HSCT as early as the first cycle, at the discretion of the investigator.",Allogeneic bone marrow transplantation,TREATS,Refractory childhood acute lymphoblastic leukemia,UMLS,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
