Source Type,Source,Subject,Object,Predicate
NCT,NCT00042341,clofarabine,Patients,TREATS
NCT,NCT00042341,clofarabine,Patients,TREATS
NCT,NCT02228096,"Leukemia, B-Cell, Acute",Patients,PROCESS_OF
NCT,NCT02228096,"Therapies, Investigational",Patients,TREATS
NCT,NCT02228096,"Therapies, Investigational","Leukemia, B-Cell, Acute",TREATS(INFER)
NCT,NCT02819804,Malignant Neoplasms,"Leukemia, Lymphocytic, Acute",COEXISTS_WITH
NCT,NCT02819804,Therapeutic procedure,Disease,TREATS
NCT,NCT02819804,Medication Management,Therapeutic procedure,METHOD_OF
NCT,NCT02819804,ABL1 gene,Cells,AUGMENTS
NCT,NCT02819804,Pharmaceutical Preparations,Pharmaceutical Preparations,compared_with
NCT,NCT02819804,Pharmaceutical Preparations,Pharmaceutical Preparations,higher_than
NCT,NCT02819804,Philadelphia chromosome positive,Patients,PROCESS_OF
NCT,NCT02819804,Toxic effect,Patients,PROCESS_OF
NCT,NCT02819804,Bone Marrow,PDCD1 gene,LOCATION_OF
NCT,NCT02819804,peripheral blood,PDCD1 gene,LOCATION_OF
NCT,NCT02819804,Peripheral,T-Lymphocyte,LOCATION_OF
NCT,NCT02819804,Therapeutic procedure,Patients,TREATS
NCT,NCT02819804,Therapeutic procedure,Patients,ADMINISTERED_TO
NCT,NCT02819804,Hemopoietic stem cell transplant,Patients,ADMINISTERED_TO
NCT,NCT01471782,"Leukemia, Lymphocytic, Acute",Patients,PROCESS_OF
NCT,NCT01471782,Malignant Neoplasms,Blood,PART_OF
NCT,NCT01471782,Malignant Neoplasms,Bone Marrow,PART_OF
NCT,NCT01471782,"Leukemia, Lymphocytic, Acute",Malignant Neoplasms,ISA
NCT,NCT01471782,"Leukemia, Lymphocytic, Acute",Blood,PART_OF(SPEC)
NCT,NCT01471782,"Leukemia, Lymphocytic, Acute",Bone Marrow,PART_OF(SPEC)
NCT,NCT01471782,"Leukemia, Lymphocytic, Acute, L1","Leukemia, Lymphocytic, Acute",ISA
NCT,NCT01471782,"Leukemia, Lymphocytic, Acute",Patients,PROCESS_OF
NCT,NCT01471782,Drug Kinetics,Patients,PROCESS_OF
NCT,NCT01471782,Part,Cells,LOCATION_OF
NCT,NCT01471782,T-Cell Activation,Patients,PROCESS_OF
NCT,NCT01471782,Drug Kinetics,cohort,PROCESS_OF
NCT,NCT01471782,Pharmacotherapy,Participant,ADMINISTERED_TO
NCT,NCT01471782,"Leukemia, Lymphocytic, Acute",Patients,PROCESS_OF
Section,Prognostic Factors,Lymphatic Diseases,Mediastinal mass,COEXISTS_WITH
Section,Prognostic Factors,Serum,Immunoglobulins,LOCATION_OF
Section,Prognostic Factors,White Blood Cell Count procedure,"Leukemia, B-Cell, Acute",DIAGNOSES
Section,Prognostic Factors,"Leukemia, B-Cell, Acute",Patients,PROCESS_OF
Section,Prognostic Factors,Chemotherapy-Oncologic Procedure,Girls,TREATS
Section,Prognostic Factors,Hyperploidy,Boys,OCCURS_IN
Section,Prognostic Factors,Mutation,Patients,AFFECTS
Section,Prognostic Factors,hLL2 agent,Monoclonal Antibodies,ISA
Section,Prognostic Factors,Child,Single Nucleotide Polymorphism,LOCATION_OF
Section,Prognostic Factors,Pharmacotherapy,Therapeutic procedure,compared_with
Section,Prognostic Factors,Patients,TAF1 gene,LOCATION_OF
Section,Prognostic Factors,Therapeutic procedure,Racial group,TREATS
Section,Prognostic Factors,"Receptors, Antigen",FASTK Gene,STIMULATES
Section,Prognostic Factors,Pharmacotherapy,Patients,TREATS
Section,Prognostic Factors,Hemopoietic stem cell transplant,Patients,TREATS
Section,Prognostic Factors,Induction,Patients,TREATS
Section,Prognostic Factors,Cells,Immunoglobulins,LOCATION_OF
Section,Prognostic Factors,Cells,"Genes, T-Cell Receptor",LOCATION_OF
Section,Prognostic Factors,Flow Cytometry,"Neoplasm, Residual",DIAGNOSES
Section,Prognostic Factors,Obesity,Patients,PROCESS_OF
Section,Prognostic Factors,host,Toxic effect,LOCATION_OF
Section,Prognostic Factors,Intervention regimes,Therapeutic procedure,COEXISTS_WITH
