PMID,Sentence,Subject,Predicate,Object
11801311,We evaluated retrospectively the cryptic t(12;21)(p13;q22) in 15 children with early B-lineage acute lymphocytic leukemia who had a normal karyotype by using the locus specific probes of TEL and AML1 genes in a dual color fluorescence in situ hybridization (FISH).,"Leukemia, Lymphocytic, Acute",PROCESS_OF,Child
11986937,Few patients had the common cytogenetic abnormalities associated with ALL in older children and few with AML had good risk abnormalities.,"Leukemia, Lymphocytic, Acute",COEXISTS_WITH,Chromosomal translocation
11986937,Few patients had the common cytogenetic abnormalities associated with ALL in older children and few with AML had good risk abnormalities.,"Leukemia, Lymphocytic, Acute",PROCESS_OF,Child
11986937,"Cytogenetic abnormalities involving 11q23 were found in 66% of ALL and 35% of AML cases, the commonest, t(4;11) being found only in ALL.",Chromosome abnormality,COEXISTS_WITH,"Leukemia, Lymphocytic, Acute"
11986937,Comparison of clinical features showed no difference in age or sex distribution between infants with ALL and AML but infants with ALL tended to have higher leucocyte counts at presentation.,"Leukemia, Myelocytic, Acute",PROCESS_OF,Infant
11986937,Comparison of clinical features showed no difference in age or sex distribution between infants with ALL and AML but infants with ALL tended to have higher leucocyte counts at presentation.,"Leukemia, Lymphocytic, Acute",PROCESS_OF,Infant
11986937,Comparison of clinical features showed no difference in age or sex distribution between infants with ALL and AML but infants with ALL tended to have higher leucocyte counts at presentation.,"Leukemia, Lymphocytic, Acute",PROCESS_OF,Infant
11986937,Few patients had the common cytogenetic abnormalities associated with ALL in older children and few with AML had good risk abnormalities.,Chromosomal translocation,PROCESS_OF,Patients
12490758,"Treatment results in childhood ALL continue to improve, and the expected current cure rates approach 75 to 80% of all children with ALL, including T-ALL and mature B-cell ALL, the two variants that, not too long ago, had a considerably poorer prognosis compared with the common form of BpALL.","Leukemia, Lymphocytic, Acute",PROCESS_OF,Child
12490758,"Treatment results in childhood ALL continue to improve, and the expected current cure rates approach 75 to 80% of all children with ALL, including T-ALL and mature B-cell ALL, the two variants that, not too long ago, had a considerably poorer prognosis compared with the common form of BpALL.",Prognosis bad,NEG_PROCESS_OF,Child
12490758,"Treatment results in childhood ALL continue to improve, and the expected current cure rates approach 75 to 80% of all children with ALL, including T-ALL and mature B-cell ALL, the two variants that, not too long ago, had a considerably poorer prognosis compared with the common form of BpALL.",Therapeutic procedure,TREATS,"Leukemia, Lymphocytic, Acute, L1"
12490758,"In the United approximately 3250 cases are diagnosed annually in children and adolescents younger than 20 years, of whom 2400 have acute lymphoblastic leukemia (ALL).","Leukemia, Lymphocytic, Acute",PROCESS_OF,Adolescent
12490758,"In the United approximately 3250 cases are diagnosed annually in children and adolescents younger than 20 years, of whom 2400 have acute lymphoblastic leukemia (ALL).","Leukemia, Lymphocytic, Acute",PROCESS_OF,Child
12756018,METHODS: Bone-marrow samples from 92 children with acute lymphoblastic leukaemia were studied by high-resolution comparative genomic hybridisation (HRCGH) using dynamic standard reference intervals that enhance both specificity and sensitivity in the detection of aberrations.,"Leukemia, Lymphocytic, Acute",PROCESS_OF,Child
12756018,BACKGROUND: Cytogenetic aberrations are of prognostic significance in childhood acute lymphoblastic leukaemias and a high detection rate could improve the biological understanding and classification of these diseases.,Chromosome abnormality,COEXISTS_WITH,"Leukemia, Lymphocytic, Acute, L1"
12756018,High-resolution comparative genomic hybridisation yields a high detection rate of chromosomal aberrations in childhood acute lymphoblastic leukaemia.,Chromosome abnormality,COEXISTS_WITH,"Leukemia, Lymphocytic, Acute, L1"
10673523,"PURPOSE: We conducted a historic cohort study to test the hypothesis that, after adjustment for biologic factors, African-American (AA) children and Spanish surname (SS) children with newly diagnosed B-precursor acute lymphoblastic leukemia had lower survival than did comparable white children.","Leukemia, Lymphocytic, Acute",PROCESS_OF,Child
10673523,"PURPOSE: We conducted a historic cohort study to test the hypothesis that, after adjustment for biologic factors, African-American (AA) children and Spanish surname (SS) children with newly diagnosed B-precursor acute lymphoblastic leukemia had lower survival than did comparable white children.","Leukemia, Lymphocytic, Acute",PROCESS_OF,Child
10673751,Potential of LightCycler technology for quantification of minimal residual disease in childhood acute lymphoblastic leukemia.,"Neoplasm, Residual",COEXISTS_WITH,"Leukemia, Lymphocytic, Acute, L1"
10979211,A retrospective analysis of children with acute lymphoblastic leukemia (ALL) was performed to evaluate the current status of diagnosis and treatment of ALL in Japanese children.,"Leukemia, Lymphocytic, Acute",PROCESS_OF,Child
10979211,A retrospective analysis of children with acute lymphoblastic leukemia (ALL) was performed to evaluate the current status of diagnosis and treatment of ALL in Japanese children.,"Leukemia, Lymphocytic, Acute",PROCESS_OF,Child
10979211,Clinical records of 670 children with ALL were collected and analyzed; these children had been diagnosed between 1991 and 1995 at the 53 institutions in 4 areas participating in the Japan Association of Childhood Leukemia Study.,"Leukemia, Lymphocytic, Acute",PROCESS_OF,Child
10979212,"We analyzed the expression pattern of adhesion molecules including beta 1-integrins (CD49c, CD49d, CD49e, CD49f), beta 2-integrins (CD11a, CD11b, CD11c), CD44, and CD54 in 141 children with B-cell precursor acute lymphoblastic leukemia (pre-B ALL) and in 21 children with B-cell ALL/non-Hodgkin's lymphoma (B-ALL/NHL).",Child,LOCATION_OF,CD44 gene | CD44
10979212,"We analyzed the expression pattern of adhesion molecules including beta 1-integrins (CD49c, CD49d, CD49e, CD49f), beta 2-integrins (CD11a, CD11b, CD11c), CD44, and CD54 in 141 children with B-cell precursor acute lymphoblastic leukemia (pre-B ALL) and in 21 children with B-cell ALL/non-Hodgkin's lymphoma (B-ALL/NHL).",Child,LOCATION_OF,Intercellular adhesion molecule 1 | ICAM1
10979212,"We analyzed the expression pattern of adhesion molecules including beta 1-integrins (CD49c, CD49d, CD49e, CD49f), beta 2-integrins (CD11a, CD11b, CD11c), CD44, and CD54 in 141 children with B-cell precursor acute lymphoblastic leukemia (pre-B ALL) and in 21 children with B-cell ALL/non-Hodgkin's lymphoma (B-ALL/NHL).",Child,LOCATION_OF,CD44 gene | CD44
10979212,"We analyzed the expression pattern of adhesion molecules including beta 1-integrins (CD49c, CD49d, CD49e, CD49f), beta 2-integrins (CD11a, CD11b, CD11c), CD44, and CD54 in 141 children with B-cell precursor acute lymphoblastic leukemia (pre-B ALL) and in 21 children with B-cell ALL/non-Hodgkin's lymphoma (B-ALL/NHL).",Child,LOCATION_OF,Intercellular adhesion molecule 1 | ICAM1
10979212,"We analyzed the expression pattern of adhesion molecules including beta 1-integrins (CD49c, CD49d, CD49e, CD49f), beta 2-integrins (CD11a, CD11b, CD11c), CD44, and CD54 in 141 children with B-cell precursor acute lymphoblastic leukemia (pre-B ALL) and in 21 children with B-cell ALL/non-Hodgkin's lymphoma (B-ALL/NHL).","Leukemia, B-Cell, Acute",PROCESS_OF,Child
10979212,"We analyzed the expression pattern of adhesion molecules including beta 1-integrins (CD49c, CD49d, CD49e, CD49f), beta 2-integrins (CD11a, CD11b, CD11c), CD44, and CD54 in 141 children with B-cell precursor acute lymphoblastic leukemia (pre-B ALL) and in 21 children with B-cell ALL/non-Hodgkin's lymphoma (B-ALL/NHL).","Leukemia, B-Cell, Acute",PROCESS_OF,Child
10981463,"The authors conducted a validation substudy within the framework of a parent case-control study on risk factors for acute lymphoblastic leukemia in children aged < or =9 years diagnosed in 1980-1993 in Quebec, Canada.","Leukemia, Lymphocytic, Acute",PROCESS_OF,Child
11016634,Twenty-two uniformly treated children with ALL were studied throughout induction treatment.,"Leukemia, Lymphocytic, Acute",PROCESS_OF,Child
11016634,Early resistance to therapy during induction in childhood acute lymphoblastic leukemia.,Induction,TREATS,"Leukemia, Lymphocytic, Acute, L1"
11150883,"Furthermore, we studied IGFBP-2 levels in 24 children with congenital GH deficiency (GHD), 26 with acute lymphoblastic leukemia (ALL), 75 obese children, and 60 girls with anorexia nervosa (AN) at diagnosis and during a follow-up period.",Somatotropin deficiency,PROCESS_OF,Child
11150883,"Furthermore, we studied IGFBP-2 levels in 24 children with congenital GH deficiency (GHD), 26 with acute lymphoblastic leukemia (ALL), 75 obese children, and 60 girls with anorexia nervosa (AN) at diagnosis and during a follow-up period.","Leukemia, Lymphocytic, Acute",PROCESS_OF,Child
11150883,"Furthermore, we studied IGFBP-2 levels in 24 children with congenital GH deficiency (GHD), 26 with acute lymphoblastic leukemia (ALL), 75 obese children, and 60 girls with anorexia nervosa (AN) at diagnosis and during a follow-up period.",Anorexia Nervosa,PROCESS_OF,Girls
11150883,"Furthermore, we studied IGFBP-2 levels in 24 children with congenital GH deficiency (GHD), 26 with acute lymphoblastic leukemia (ALL), 75 obese children, and 60 girls with anorexia nervosa (AN) at diagnosis and during a follow-up period.",Anorexia Nervosa,PROCESS_OF,Child
11150883,"Furthermore, we studied IGFBP-2 levels in 24 children with congenital GH deficiency (GHD), 26 with acute lymphoblastic leukemia (ALL), 75 obese children, and 60 girls with anorexia nervosa (AN) at diagnosis and during a follow-up period.",Obesity,PROCESS_OF,Child
11333138,The detection and significance of chromosomal abnormalities in childhood acute lymphoblastic leukaemia.,Chromosome abnormality,COEXISTS_WITH,"Leukemia, Lymphocytic, Acute, L1"
11443604,Excellent therapeutic efficacy and minimal late neurotoxicity in children treated with 18 grays of cranial radiation therapy for high-risk acute lymphoblastic leukemia: a 7-year follow-up study of the Dana-Farber Cancer Institute Consortium Protocol 87-01.,Radiation therapy,TREATS,"Leukemia, Lymphocytic, Acute"
12060981,"Between 1981 and 1999, 890 Austrian children with acute lymphoblastic leukemia (ALL) were treated in 5 consecutive trials using protocols from the Berlin-Frankfurt-Munster (BFM) Group.","Leukemia, Lymphocytic, Acute",PROCESS_OF,Child
12133457,METHODS: Two children with acute lymphoblastic leukemia received HLA-mismatched unrelated umbilical cord blood transplantation.,"Leukemia, Lymphocytic, Acute",PROCESS_OF,Child
12133457,METHODS: Two children with acute lymphoblastic leukemia received HLA-mismatched unrelated umbilical cord blood transplantation.,umbilical cord blood transplantation,ADMINISTERED_TO,Child
12461790,"RESULTS: Among 96 children diagnosed with ALL, and quantified for post induction residual disease, 32 were t(12;21)-positive.","Leukemia, Lymphocytic, Acute",PROCESS_OF,Child
12461790,"PROCEDURE: As part of the Nordic Society of Pediatric Hematology and Oncology (NOPHO) ALL-MRD 95 study, which includes children from Iceland, Norway, and Denmark diagnose d with ALL, patients were screened for the presence of t(12; 21) by reverse transcriptase-polymerase chain reaction (RT-PCR) at diagnosis, and their residual disease was quantified after 4 weeks of induction therapy (prednisolone, vincristine, doxorubicin, i.t. methotrexate) by a competitive, clone-specific, semi-nested PCR analysis.",Residual Tumor,PROCESS_OF,Child
12461790,"PROCEDURE: As part of the Nordic Society of Pediatric Hematology and Oncology (NOPHO) ALL-MRD 95 study, which includes children from Iceland, Norway, and Denmark diagnose d with ALL, patients were screened for the presence of t(12; 21) by reverse transcriptase-polymerase chain reaction (RT-PCR) at diagnosis, and their residual disease was quantified after 4 weeks of induction therapy (prednisolone, vincristine, doxorubicin, i.t. methotrexate) by a competitive, clone-specific, semi-nested PCR analysis.","Leukemia, Lymphocytic, Acute",PROCESS_OF,Child
12461790,"PROCEDURE: As part of the Nordic Society of Pediatric Hematology and Oncology (NOPHO) ALL-MRD 95 study, which includes children from Iceland, Norway, and Denmark diagnose d with ALL, patients were screened for the presence of t(12; 21) by reverse transcriptase-polymerase chain reaction (RT-PCR) at diagnosis, and their residual disease was quantified after 4 weeks of induction therapy (prednisolone, vincristine, doxorubicin, i.t. methotrexate) by a competitive, clone-specific, semi-nested PCR analysis.",Polymerase chain reaction analysis,METHOD_OF,Neoadjuvant Therapy
12492580,Leukaemic blasts from 21 children with ALL were studied.,"Leukemia, Lymphocytic, Acute",PROCESS_OF,Child
12794529,Acute lymphoblastic leukemia (ALL) in children can rarely present with severe lactic acidosis in the absence of a high white blood cell count or other complications.,"Leukemia, Lymphocytic, Acute",PROCESS_OF,Child
10720126,"Treatment of children with acute lymphoblastic leukaemia (ALL) aims to cure all patients with as little toxicity as possible and, if possible, to restrict further intensification of chemotherapy to patients with an increased risk of relapse.","Leukemia, Lymphocytic, Acute",PROCESS_OF,Child
10720126,"Treatment of children with acute lymphoblastic leukaemia (ALL) aims to cure all patients with as little toxicity as possible and, if possible, to restrict further intensification of chemotherapy to patients with an increased risk of relapse.",Therapeutic procedure,TREATS,Patients
10720126,Benefit of intensified treatment for all children with acute lymphoblastic leukaemia: results from MRC UKALL XI and MRC ALL97 randomised trials.,"Leukemia, Lymphocytic, Acute",PROCESS_OF,Child
10720126,Benefit of intensified treatment for all children with acute lymphoblastic leukaemia: results from MRC UKALL XI and MRC ALL97 randomised trials.,Therapeutic procedure,TREATS,Child
10720126,Benefit of intensified treatment for all children with acute lymphoblastic leukaemia: results from MRC UKALL XI and MRC ALL97 randomised trials.,Therapeutic procedure,TREATS,"Leukemia, Lymphocytic, Acute"
10756360,BACKGROUND AND OBJECTIVE: We previously found a high-level amplification in chromosomal region 21q22 in two children with acute lymphoblastic leukemia (ALL) using comparative genomic hybridization.,"Leukemia, Lymphocytic, Acute",PROCESS_OF,Child
10758764,"From that number, 15 children (78.9%) were with acute lymphoblastic leukemia (ALL), 3 (15.7%) were with acute myeloic leukemia (AML) and 1 was with chronic myeloic leukemia.","Leukemia, Lymphocytic, Acute",PROCESS_OF,Child
10758764,"From that number, 15 children (78.9%) were with acute lymphoblastic leukemia (ALL), 3 (15.7%) were with acute myeloic leukemia (AML) and 1 was with chronic myeloic leukemia.","Leukemia, Lymphocytic, Acute",ISA,Acute leukemia
10759711,The optimal treatment for relapsed ALL therefore remains uncertain.,Transplantation,TREATS,"Leukemia, Lymphocytic, Acute"
10909707,The most frequent type of tumor was acute lymphocytic leukemia (22.0%).,"Leukemia, Lymphocytic, Acute",ISA,Neoplasm
11052810,"Here, we present detailed data on the expression of the interleukin 7 receptor alpha chain (IL-7Ralpha) in leukaemic cells from 210 children with acute lymphoblastic leukaemia (ALL) and describe two novel alternatively spliced transcripts of human IL-7Ralpha coding for truncated receptor proteins which are still capable of binding IL-7.","Leukemia, Lymphocytic, Acute",PROCESS_OF,Child
11299850,CD44v6 is considered as a marker of poor prognosis of various hematological cancers but its expression was not demonstrated in childhood acute lymphoblastic leukaemia (ALL).,Hematologic Neoplasms,COEXISTS_WITH,"Leukemia, Lymphocytic, Acute, L1"
11410410,"DESIGN AND METHODS: From 1987 to 1991, a total of 632 eligible and evaluable children (age 1 to < or =16 years) with non-B-cell acute lymphoblastic leukemia (ALL), were enrolled and stratified as follows: standard risk (SR, 79 patients, 12.5%) had WBC <10,000/mm3, age > or = 3 and <7 years, and FAB L1 morphology.","Leukemia, B-Cell, Acute",PROCESS_OF,Child
11804271,Approximately 80% of children with acute lymphoblastic leukemia (ALL) can be cured with modern therapy.,"Leukemia, Lymphocytic, Acute",PROCESS_OF,Child
11804271,"Herein, we review recent progress in thesefields as they relate to childhood ALL, and discuss the promise they hold to further enhance treatment of the most common cancer in children.","Leukemia, Lymphocytic, Acute, L1",PROCESS_OF,Child
11804271,Approximately 80% of children with acute lymphoblastic leukemia (ALL) can be cured with modern therapy.,Therapeutic procedure,TREATS,Child
11804271,Approximately 80% of children with acute lymphoblastic leukemia (ALL) can be cured with modern therapy.,Therapeutic procedure,TREATS,"Leukemia, Lymphocytic, Acute"
11987913,"In children with acute lymphoblastic leukaemia (ALL), measurements of minimal residual disease (MRD) during therapy provide crucial information about the response to treatment and the risk of relapse.","Leukemia, Lymphocytic, Acute",PROCESS_OF,Child
12096296,"Parents of children diagnosed with ALL must have honest information about diagnosis and treatment, as much information as possible for planning their daily lives, an opportunity to express real feelings, access to moments of personal space where feelings can be processed, and compassionate understanding of the emotional difficulties associated with this difficult life journey.","Leukemia, Lymphocytic, Acute",PROCESS_OF,Child
12096296,PURPOSE/OBJECTIVES: To report the perspective of parents during the initial stages of diagnosis and treatment for their children's acute lymphoblastic leukemia (ALL).,Therapeutic procedure,TREATS,"Leukemia, Lymphocytic, Acute"
12096296,PURPOSE/OBJECTIVES: To report the perspective of parents during the initial stages of diagnosis and treatment for their children's acute lymphoblastic leukemia (ALL).,"Leukemia, Lymphocytic, Acute",PROCESS_OF,Child
12209591,"There was highly significant reduction of TREC values in children with T-cell malignancies (median 3,100 TRECs/10(6) PBMCs), whereas children with B-cell origin ALL had slightly but nonsignificantly lower TREC values compared to healthy children (medians 19,300 and 22,500 TRECs/10(6) PBMCs, respectively).",Malignant Neoplasms,PROCESS_OF,Child
12209591,"There was highly significant reduction of TREC values in children with T-cell malignancies (median 3,100 TRECs/10(6) PBMCs), whereas children with B-cell origin ALL had slightly but nonsignificantly lower TREC values compared to healthy children (medians 19,300 and 22,500 TRECs/10(6) PBMCs, respectively).","Leukemia, B-Cell, Acute",PROCESS_OF,Child
12209591,"There was highly significant reduction of TREC values in children with T-cell malignancies (median 3,100 TRECs/10(6) PBMCs), whereas children with B-cell origin ALL had slightly but nonsignificantly lower TREC values compared to healthy children (medians 19,300 and 22,500 TRECs/10(6) PBMCs, respectively).",T-Lymphocyte,LOCATION_OF,Malignant Neoplasms
12414341,Further studies in a larger cohort of patients are needed to determine the exact role that MRD determination has in the management of T-ALL in adults.,"Leukemia, Lymphocytic, Acute",PROCESS_OF,Adult
12469194,"In 30 consecutive children with ALL treated with prednisone we determined changes in the expression of Bcl-2, Bax and Bcl-xl proteins in leukemic lymphoblasts and related these to clinical features and rate of prednisone-induced apoptosis.",lymphoblast,LOCATION_OF,BAX gene | BAX
12469194,"In 30 consecutive children with ALL treated with prednisone we determined changes in the expression of Bcl-2, Bax and Bcl-xl proteins in leukemic lymphoblasts and related these to clinical features and rate of prednisone-induced apoptosis.",lymphoblast,LOCATION_OF,BCL-XL Protein
12469194,Glucocorticoid resistance is often associated with treatment failure in children with acute lymphoblastic leukaemia (ALL) but the underlying molecular mechanisms are still unclear.,"Leukemia, Lymphocytic, Acute",PROCESS_OF,Child
12469194,Glucocorticoid resistance is often associated with treatment failure in children with acute lymphoblastic leukaemia (ALL) but the underlying molecular mechanisms are still unclear.,Glucocorticoids,TREATS,Child
12469194,Glucocorticoid resistance is often associated with treatment failure in children with acute lymphoblastic leukaemia (ALL) but the underlying molecular mechanisms are still unclear.,Glucocorticoids,TREATS,"Leukemia, Lymphocytic, Acute"
12469194,"In 30 consecutive children with ALL treated with prednisone we determined changes in the expression of Bcl-2, Bax and Bcl-xl proteins in leukemic lymphoblasts and related these to clinical features and rate of prednisone-induced apoptosis.","Leukemia, Lymphocytic, Acute",PROCESS_OF,Child
12469194,"In 30 consecutive children with ALL treated with prednisone we determined changes in the expression of Bcl-2, Bax and Bcl-xl proteins in leukemic lymphoblasts and related these to clinical features and rate of prednisone-induced apoptosis.",Prednisone,TREATS,"Leukemia, Lymphocytic, Acute"
10641030,"TEL-AML1 fusion and hyperdiploidy >50 chromosomes are associated with a good prognosis in childhood acute lymphoblastic leukemia, whereas BCR-ABL fusion and MLL rearrangements are associated with a poor prognosis.",Hyperploidy,COEXISTS_WITH,"Leukemia, Lymphocytic, Acute, L1"
10643153,We carried out in vitro tests with a 4-day culture and a methyl-thiazol-tetrazolium assay on bone marrow samples from 209 children newly diagnosed with ALL.,"Leukemia, Lymphocytic, Acute",PROCESS_OF,Child
10797353,PROCEDURE: All children with HR-ALL in Finland during 1990-1996 were included.,"Leukemia, Lymphocytic, Acute",PROCESS_OF,Child
10797353,Granulocyte-macrophage colony-stimulating factor support in therapy of high-risk acute lymphoblastic leukemia in children.,"Leukemia, Lymphocytic, Acute",PROCESS_OF,Child
10906804,CONCLUSION: Malnutrition exists in a significant proportion of children with ALL.,"Leukemia, Lymphocytic, Acute",PROCESS_OF,Child
10906804,OBJECTIVE: To determine the nutritional status and the extent of skeletal muscle wasting in children with acute lymphoblastic leukemia (ALL) at the time of diagnosis and after induction chemotherapy.,Muscular Atrophy,PROCESS_OF,Child
10906804,OBJECTIVE: To determine the nutritional status and the extent of skeletal muscle wasting in children with acute lymphoblastic leukemia (ALL) at the time of diagnosis and after induction chemotherapy.,"Leukemia, Lymphocytic, Acute",PROCESS_OF,Child
11054062,This might contribute to the difference in outcome between children and adults with ALL.,"Leukemia, Lymphocytic, Acute",PROCESS_OF,Child
11054062,This might contribute to the difference in outcome between children and adults with ALL.,"Leukemia, Lymphocytic, Acute",PROCESS_OF,Adult
11127393,An event-free survival is currently achieved in 70-80% of children diagnosed with acute lymphocytic leukemia (ALL).,"Leukemia, Lymphocytic, Acute",PROCESS_OF,Child
11145727,Chemotherapeutic CNS prophylaxis and neuropsychologic change in children with acute lymphoblastic leukemia: a prospective study.,Central Nervous System Prophylaxis,TREATS,"Leukemia, Lymphocytic, Acute"
11145727,Chemotherapeutic CNS prophylaxis and neuropsychologic change in children with acute lymphoblastic leukemia: a prospective study.,Central Nervous System Prophylaxis,TREATS,Child
11145727,Chemotherapeutic CNS prophylaxis and neuropsychologic change in children with acute lymphoblastic leukemia: a prospective study.,"Leukemia, Lymphocytic, Acute",PROCESS_OF,Child
11145841,"Thus, we analyzed bone marrow blasts from 10 children with relapsed B cell precursor ALL.","Leukemia, B-Cell, Acute",PROCESS_OF,Child
11298592,"Twenty-six children with B-cell acute lymphoblastic leukaemia (B-ALL) or Murphy Stage III or IV B-cell non-Hodgkin's lymphoma (B-NHL) progressed or relapsed after first-line therapy with a short, intensive multiagent chemotherapy regimen [United Kingdom Childhood Cancer Study Group (UKCCSG) 9003] (n = 62) or a slightly less intensive regimen (UKCCSG 9002) (n = 112).",B-Cell Lymphomas,PROCESS_OF,Child
11298592,"Twenty-six children with B-cell acute lymphoblastic leukaemia (B-ALL) or Murphy Stage III or IV B-cell non-Hodgkin's lymphoma (B-NHL) progressed or relapsed after first-line therapy with a short, intensive multiagent chemotherapy regimen [United Kingdom Childhood Cancer Study Group (UKCCSG) 9003] (n = 62) or a slightly less intensive regimen (UKCCSG 9002) (n = 112).","Leukemia, B-Cell, Acute",PROCESS_OF,Child
11445861,"For children with acute lymphoblastic leukemia the major morbidity burdens were in the attributes of emotion, cognition and pain.","Leukemia, Lymphocytic, Acute",PROCESS_OF,Child
11445861,"For children with acute lymphoblastic leukemia the major morbidity burdens were in the attributes of emotion, cognition and pain.",Child,ISA,Attribute
11445861,"For children with acute lymphoblastic leukemia the major morbidity burdens were in the attributes of emotion, cognition and pain.",Pain,PROCESS_OF,Child
11992395,"It is considered that prophylactic 18 Gy cranial irradiation plus chemotherapy for ALL in childhood can effectively prevent CNS relapse and is unlikely to produce clinically significant late effects, although it may cause slight pituitary hormone abnormality.",Late effect of,CAUSES,Endocrine System Diseases
11992395,"It is considered that prophylactic 18 Gy cranial irradiation plus chemotherapy for ALL in childhood can effectively prevent CNS relapse and is unlikely to produce clinically significant late effects, although it may cause slight pituitary hormone abnormality.",Pharmacotherapy,TREATS,"Leukemia, Lymphocytic, Acute"
11992395,The subjects consisted of 35 children with ALL who were treated with prophylactic 18 Gy cranial irradiation at Kanagawa Children's Medical Center between October 1981 and February 1995.,"Leukemia, Lymphocytic, Acute",PROCESS_OF,Child
