Section,Subject,Predicate,Object
Molecular Genetics of ALL,TRANSCRIPTION FACTOR,COEXISTS_WITH,Fusion Protein
Molecular Genetics of ALL,Clone,PART_OF,Dysmyelopoietic Syndromes
Molecular Genetics of ALL,Cells,LOCATION_OF,TRANSCRIPTION FACTOR
Molecular Genetics of ALL,Hypercalcemia,PREDISPOSES,Disseminated Intravascular Coagulation
Molecular Genetics of ALL,MYC gene,PART_OF,"Chromosomes, Human, Pair 8"
Molecular Genetics of ALL,Cells,LOCATION_OF,"Leukemia, B-Cell, Acute"
Molecular Genetics of ALL,"Leukemia, B-Cell, Acute",OCCURS_IN,Burkitt Lymphoma
Molecular Genetics of ALL,Chromosomal translocation,COEXISTS_WITH,"Leukemia, B-Cell, Acute"
Molecular Genetics of ALL,leukemia,PROCESS_OF,Infant
Molecular Genetics of ALL,leukemia,PROCESS_OF,Patients
Molecular Genetics of ALL,MLL gene,ASSOCIATED_WITH,"Leukemia, Myelocytic, Acute"
Molecular Genetics of ALL,MLL gene,PART_OF,chromosome 11q23
Molecular Genetics of ALL,Topoisomerase-II Inhibitor,INTERACTS_WITH,MLL gene
Molecular Genetics of ALL,"Leukemia, B-Cell, Acute",PROCESS_OF,Patients
Molecular Genetics of ALL,Leukocytes,PART_OF,Patients
Molecular Genetics of ALL,CNS metastases,PROCESS_OF,Patients
Molecular Genetics of ALL,"Chromosomes, Human, Pair 22",LOCATION_OF,BCR gene
Molecular Genetics of ALL,"Chromosomes, Human, Pair 9",LOCATION_OF,tyrosine kinase ABL1
Molecular Genetics of ALL,Fusion Protein,STIMULATES,tyrosine kinase ABL1
Molecular Genetics of ALL,Hematopoietic precursor cell,LOCATION_OF,Fusion Protein
Molecular Genetics of ALL,IGH@ gene cluster,ASSOCIATED_WITH,Chromosomal translocation
Molecular Genetics of ALL,Chromosomal translocation,PROCESS_OF,Patients
Molecular Genetics of ALL,Prognosis bad,PROCESS_OF,Patients
Molecular Genetics of ALL,Bone Marrow,LOCATION_OF,Hypereosinophilia
Molecular Genetics of ALL,Tumor Suppressor Genes,ASSOCIATED_WITH,DELETION
Molecular Genetics of ALL,CDKN2A gene,ASSOCIATED_WITH,DELETION
Molecular Genetics of ALL,CDKN2B gene,ASSOCIATED_WITH,DELETION
Molecular Genetics of ALL,Leukocytes,PART_OF,Patients
Molecular Genetics of ALL,Genes,AFFECTS,B-Lymphocytes
Molecular Genetics of ALL,Lesion,PROCESS_OF,Drivers of Vehicles
Molecular Genetics of ALL,Gene Expression Profiling,USES,Molecular Profiling
Molecular Genetics of ALL,Mutation,AFFECTS,Interleukin 7 Receptor
Molecular Genetics of ALL,"Receptors, Cytokine",AFFECTS,B Cell Proliferation
Molecular Genetics of ALL,"FRAP1 protein, human",AUGMENTS,Signal Pathways
Molecular Genetics of ALL,Down Syndrome,PROCESS_OF,Patients
Molecular Genetics of ALL,Myeloproliferative disease,ISA,Polycythemia Vera
Molecular Genetics of ALL,Polycythemia Vera,ISA,Myeloproliferative disease
Molecular Genetics of ALL,Latinos,ISA,Ethnic group
Molecular Genetics of ALL,Pseudoautosomal Region,PART_OF,Sex Chromosomes
Molecular Genetics of ALL,"Leukemia, Myelocytic, Acute",ISA,Disease
Molecular Genetics of ALL,FLT3 gene,INTERACTS_WITH,MLL gene
Molecular Genetics of ALL,small molecule,INHIBITS,FLT3 gene
Molecular Genetics of ALL,Therapeutic agent (substance),TREATS,leukemia
Molecular Genetics of ALL,Chromosomal Rearrangement,COEXISTS_WITH,"Leukemia, B-Cell, Acute"
Molecular Genetics of ALL,Transcription factor genes,ASSOCIATED_WITH,Chromosomal translocation
Molecular Genetics of ALL,integral to membrane,AFFECTS,cell fate determination
Molecular Genetics of ALL,integral to membrane,AFFECTS,Pattern Formation
Molecular Genetics of ALL,integral to membrane,AFFECTS,stem cell maintenance
Molecular Genetics of ALL,multicatalytic endopeptidase complex,STIMULATES,NOTCH1 gene
Molecular Genetics of ALL,secretase,STIMULATES,NOTCH1 gene
Molecular Genetics of ALL,TRANSCRIPTION FACTOR,ASSOCIATED_WITH,Chromosomal translocation
Molecular Genetics of ALL,T-Cell Receptor,AFFECTS,X-linked severe combined immunodeficiency
Molecular Genetics of ALL,LMO2 gene,AFFECTS,Cell fusion
Molecular Genetics of ALL,v-myb Genes,ASSOCIATED_WITH,Chromosomal translocation
Molecular Genetics of ALL,v-myb Genes,ASSOCIATED_WITH,DELETION
Molecular Genetics of ALL,IL7R gene,STIMULATES,Phosphotransferases
Molecular Genetics of ALL,JAK1 gene,STIMULATES,Phosphotransferases
Molecular Genetics of ALL,JAK3 gene,STIMULATES,Phosphotransferases
Molecular Genetics of ALL,PHF6 gene,STIMULATES,Phosphotransferases
Molecular Genetics of ALL,histone acetyltransferase,compared_with,Glucocorticoids
Molecular Genetics of ALL,Diagnosis,COEXISTS_WITH,Therapeutic procedure
Pharmacogenetics,Myelosuppression,PROCESS_OF,Patients
Pharmacogenetics,Candidate Disease Gene,INTERACTS_WITH,6-Mercaptopurine
Pharmacogenetics,Metabolites,ASSOCIATED_WITH,Hepatotoxicity
Pharmacogenetics,Metabolites,ASSOCIATED_WITH,Myelosuppression
Pharmacogenetics,Therapeutic procedure,USES,Allopurinol
Pharmacogenetics,Folate,ASSOCIATED_WITH,Toxic effect
Pharmacogenetics,Single Nucleotide Polymorphism,AFFECTS,Drug Metabolism
Pharmacogenetics,Antineoplastic Agents,AFFECTS,Blast Cell
Pharmacogenetics,host,LOCATION_OF,Toxic effect
Pharmacogenetics,Bone necrosis,PREDISPOSES,"Neoplasm, Residual"
Pharmacogenetics,Late effect of,PREDISPOSES,"Neoplasm, Residual"
Clinical Presentation,Leukemic Cell,PART_OF,Child
Clinical Presentation,Anemia,ISA,Clinical finding
Clinical Presentation,Neutropenia,ISA,Clinical finding
Clinical Presentation,Neutropenia,ISA,Symptoms
Clinical Presentation,Thrombocytopenia,ISA,Clinical finding
Clinical Presentation,Thrombocytopenia,ISA,Symptoms
Clinical Presentation,Mediastinal mass,OCCURS_IN,Boys
Clinical Presentation,Mediastinal mass,PROCESS_OF,Child
Clinical Presentation,"Leukemia, T-Cell",PROCESS_OF,Patients
Clinical Presentation,Central Nervous System Leukemia,PROCESS_OF,Patients
Clinical Presentation,Physical findings,PROCESS_OF,Patients
Clinical Presentation,Symptoms,PROCESS_OF,Patients
Clinical Presentation,Anorexia,ISA,Symptoms
Clinical Presentation,Anorexia,PROCESS_OF(SPEC),Child
Clinical Presentation,Constipation,ISA,Symptoms
Clinical Presentation,Constipation,PROCESS_OF(SPEC),Child
Clinical Presentation,Lethargy,ISA,Symptoms
Clinical Presentation,Lethargy,PROCESS_OF(SPEC),Child
Clinical Presentation,Nausea,ISA,Symptoms
Clinical Presentation,Nausea,PROCESS_OF(SPEC),Child
Clinical Presentation,Muscle Weakness,ISA,Symptoms
Clinical Presentation,Muscle Weakness,PROCESS_OF(SPEC),Child
Clinical Presentation,Symptoms,PROCESS_OF,Child
Clinical Presentation,Lameness,PROCESS_OF,Child
Clinical Presentation,Disease,COEXISTS_WITH,Arthralgia
Clinical Presentation,Bone pain,COEXISTS_WITH,Symptoms
Clinical Presentation,Steroids,PART_OF,Patients
Clinical Presentation,Bone Marrow,LOCATION_OF,Body Weight Changes
Clinical Presentation,Hypereosinophilia,PROCESS_OF,Patients
Clinical Presentation,Eosinophilia,PROCESS_OF,Patients
Clinical Presentation,Chromosomal translocation,COEXISTS_WITH,"Leukemia, B-Cell, Acute"
Clinical Presentation,Acute Erythroblastic Leukemia,ISA,Myeloid Leukemia
Clinical Presentation,Bone Marrow Involvement,PROCESS_OF,Patients
Clinical Presentation,Cells,LOCATION_OF,"Leukemia, B-Cell, Acute"
Clinical Presentation,"Leukemia, B-Cell, Acute",ISA,Burkitt Lymphoma
Clinical Presentation,"Leukemia, B-Cell, Acute",PROCESS_OF,Child
Clinical Presentation,Cells,LOCATION_OF,"Leukemia, B-Cell, Acute"
Clinical Presentation,lymphoblast,LOCATION_OF,T-Cell Lymphoma
Clinical Presentation,Thrombocytopenia,OCCURS_IN,Patients
Clinical Presentation,Immunophenotyping,METHOD_OF,Karyotype determination procedure
Clinical Presentation,Blast Cell,PART_OF,Marrow
Clinical Presentation,Marrow,LOCATION_OF,Biopsy
Clinical Presentation,Assessment procedure,USES,Biopsy
Clinical Presentation,Assessment procedure,METHOD_OF,Diagnosis
Clinical Presentation,Immunophenotyping,USES,Monoclonal Antibodies
Clinical Presentation,Cytogenetic procedure,USES,Monoclonal Antibodies
Clinical Presentation,Abnormal result,PROCESS_OF,Patients
Clinical Presentation,Uric acid urolithiasis,ISA,Hyperuricemia
Clinical Presentation,Allopurinol,ISA,Xanthine Oxidase Inhibitors
Clinical Presentation,Allopurinol,PREVENTS,Complication
Clinical Presentation,Excretory function,PROCESS_OF,Precipitation
Clinical Presentation,Entire renal tubule,LOCATION_OF,xanthine
Clinical Presentation,Entire renal tubule,LOCATION_OF,CALCIUM PHOSPHATE CRYSTALS
Clinical Presentation,Induction,TREATS,Patients
Clinical Presentation,Hydrogen Peroxide,CAUSES,"Anemia, Hemolytic"
Clinical Presentation,Hydrogen Peroxide,CAUSES,Methemoglobinemia
Clinical Presentation,Rasburicase,INHIBITS,Calcium
Clinical Presentation,Bulky Disease,PROCESS_OF,Patients
Clinical Presentation,Lysis,CAUSES,Hypercalcemia
Clinical Presentation,Asymptomatic,PROCESS_OF,Patients
Clinical Presentation,Blast,PROCESS_OF,Leukemic Infiltration
Clinical Presentation,Leukemic Infiltration,PART_OF,Liver
Clinical Presentation,Diagnosis,COEXISTS_WITH,Therapeutic procedure
Clinical Presentation,Hypereosinophilia,PREDISPOSES,Loeffler Syndrome
Clinical Presentation,Syndrome,COEXISTS_WITH,Diabetes Insipidus
Clinical Presentation,Syndrome,COEXISTS_WITH,Hyperphagia
Clinical Presentation,Syndrome,COEXISTS_WITH,Weight Gain
Clinical Presentation,Leukemic Cell,LOCATION_OF,Intracranial mass
Clinical Presentation,Neurologic Signs,PROCESS_OF,Child
Clinical Presentation,Symptoms,PROCESS_OF,Child
Clinical Presentation,Bone Marrow,LOCATION_OF,Central Nervous System Leukemia
Clinical Presentation,Bone Marrow,PART_OF,Bone structure of cranium
Clinical Presentation,Petechiae,CAUSES,Thrombocytopenia
Clinical Presentation,Entire choroid plexus,LOCATION_OF,Leukemic Infiltration
Clinical Presentation,Parenchyma,PART_OF,Brain
Clinical Presentation,Diagnosis,USES,Spinal Puncture
Clinical Presentation,"Leukemia, B-Cell, Acute",PROCESS_OF,Child
Clinical Presentation,Diagnosis,TREATS,Patients
Clinical Presentation,Bone Marrow,LOCATION_OF,Cerebrospinal Fluid
Clinical Presentation,Asymptomatic,PROCESS_OF,Patients
Clinical Presentation,Central Nervous System Leukemia,PROCESS_OF,Patients
Clinical Presentation,Flow Cytometry,ISA,Diagnosis
Clinical Presentation,Treatment Protocols,compared_with,Therapeutic procedure
Clinical Presentation,Blast Cell,PART_OF,Fishes
Clinical Presentation,Therapeutic procedure,AFFECTS,Central Nervous System Leukemia
Clinical Presentation,Testicular Leukemia,AFFECTS,Testis
Clinical Presentation,Flow Cytometry,METHOD_OF,Immunophenotyping
Clinical Presentation,Biopsy,DIAGNOSES,Testicular Diseases
Clinical Presentation,Marrow,LOCATION_OF,Disease
Clinical Presentation,Pharmacotherapy,TREATS,Disease
Clinical Presentation,Relapse,ISA,Recurrence
Clinical Presentation,Liver,LOCATION_OF,leukemia
Clinical Presentation,Spleen,LOCATION_OF,leukemia
Clinical Presentation,Exploratory laparotomy,ADMINISTERED_TO,Patients
Clinical Presentation,Abdominal lymph node group,LOCATION_OF,leukemia
Prognostic Factors,Lymphatic Diseases,COEXISTS_WITH,Mediastinal mass
Prognostic Factors,Serum,LOCATION_OF,Immunoglobulins
Prognostic Factors,White Blood Cell Count procedure,DIAGNOSES,"Leukemia, B-Cell, Acute"
Prognostic Factors,"Leukemia, B-Cell, Acute",PROCESS_OF,Patients
Prognostic Factors,Chemotherapy-Oncologic Procedure,TREATS,Girls
Prognostic Factors,Hyperploidy,OCCURS_IN,Boys
Prognostic Factors,Mutation,AFFECTS,Patients
Prognostic Factors,hLL2 agent,ISA,Monoclonal Antibodies
Prognostic Factors,Child,LOCATION_OF,Single Nucleotide Polymorphism
Prognostic Factors,Pharmacotherapy,compared_with,Therapeutic procedure
Prognostic Factors,Patients,LOCATION_OF,TAF1 gene
Prognostic Factors,Therapeutic procedure,TREATS,Racial group
Prognostic Factors,"Receptors, Antigen",STIMULATES,FASTK Gene
Prognostic Factors,Pharmacotherapy,TREATS,Patients
Prognostic Factors,Hemopoietic stem cell transplant,TREATS,Patients
Prognostic Factors,Induction,TREATS,Patients
Prognostic Factors,Cells,LOCATION_OF,Immunoglobulins
Prognostic Factors,Cells,LOCATION_OF,"Genes, T-Cell Receptor"
Prognostic Factors,Flow Cytometry,DIAGNOSES,"Neoplasm, Residual"
Prognostic Factors,Obesity,PROCESS_OF,Patients
Prognostic Factors,host,LOCATION_OF,Toxic effect
Prognostic Factors,Intervention regimes,COEXISTS_WITH,Therapeutic procedure
Treatment,Application procedure,TREATS,Adverse event
Treatment,Reporting,TREATS,Adverse event
Treatment,Hypoploidy,PROCESS_OF,Clinical Trials Cooperative Group
Treatment,Protein-tyrosine kinase inhibitor,NEG_TREATS,Transplanted organ and tissue status
Treatment,Dexamethasone,AUGMENTS,Complication
Treatment,prednisolone,ISA,Glucocorticoids
Treatment,Prednisone,ISA,Glucocorticoids
Treatment,ASPARAGINASE,ISA,Therapeutic procedure
Treatment,Asparagine,CAUSES,apoptotic program
Treatment,Plasma,LOCATION_OF,Asparagine
Treatment,Anaphylaxis,ISA,Hypersensitivity
Treatment,ASPARAGINASE,INTERACTS_WITH,Pharmaceutical Preparations
Treatment,Allergic Reaction,ISA,Hypersensitivity
Treatment,6-Mercaptopurine,ADMINISTERED_TO(SPEC),Patients
Treatment,6-Mercaptopurine,ISA,Therapeutic procedure
Treatment,ASPARAGINASE,CAUSES,Pancreatitis
Treatment,ASPARAGINASE,CAUSES,Thrombosis
Treatment,ASPARAGINASE,CAUSES,Inactivation
Treatment,ASPARAGINASE,INTERACTS_WITH,Proteins
Treatment,Dexamethasone,ISA,Pharmaceutical Preparations
Treatment,Glucocorticoids,ADMINISTERED_TO(SPEC),Patients
Treatment,Glucocorticoids,ISA,Therapeutic procedure
Treatment,Patients,LOCATION_OF,Asparagine
Treatment,Recurrence,CAUSES,Pancreatitis
Treatment,Trimethoprim-Sulfamethoxazole Combination,ADMINISTERED_TO(SPEC),Patients
Treatment,Trimethoprim-Sulfamethoxazole Combination,ISA,Therapeutic procedure
Treatment,Therapeutic procedure,ADMINISTERED_TO,Patients
Treatment,Therapeutic procedure,USES,ASPARAGINASE
Treatment,Octreotide,TREATS,Patients
Treatment,Erwinia asparaginase,STIMULATES,ASPARAGINASE
Treatment,Erwinia asparaginase,STIMULATES,Glucocorticoids
Treatment,Erwinia asparaginase,STIMULATES,Vincristine
Treatment,Drug Combinations,TREATS,Patients
Treatment,Anthracycline Antibiotics,CAUSES,Mucositis
Treatment,Anthracycline Antibiotics,CAUSES,Myelosuppression
Treatment,Treatment Protocols,USES,ASPARAGINASE
Treatment,Treatment Protocols,USES,Vincristine
Treatment,Dexrazoxane,PREVENTS,Cardiotoxicity
Treatment,Cardiotoxicity,PROCESS_OF,Adult
Treatment,Cardiotoxicity,PROCESS_OF,Patients
Treatment,Treatment Protocols,TREATS,Child
Treatment,Dexrazoxane,PREDISPOSES,secondary acute myeloid leukemia
Treatment,Marrow,LOCATION_OF,leukemia
Treatment,Therapeutic procedure,TREATS,Patients
Treatment,"Aplasia, NOS",PROCESS_OF,Patients
Treatment,Marrow,PART_OF,Patients
Treatment,Diagnosis,USES,Pharmaceutical Preparations
Treatment,Growth,PROCESS_OF,brain function
Treatment,Treatment Protocols,TREATS,Patients
Treatment,Treatment Protocols,TREATS(INFER),Functional disorder
Treatment,Treatment Protocols,TREATS(INFER),Myelosuppression
Treatment,Functional disorder,AFFECTS,Radiation
Treatment,Functional disorder,PROCESS_OF,Patients
Treatment,Myelosuppression,AFFECTS,Radiation
Treatment,Myelosuppression,PROCESS_OF,Patients
Treatment,Treatment Protocols,ADMINISTERED_TO,Survivors
Treatment,Cranial Irradiation,USES,Methotrexate
Treatment,Disease,PREDISPOSES,Central Nervous System Leukemia
Treatment,leukemia,ISA,Disease
Treatment,leukemia,PREDISPOSES(SPEC),Central Nervous System Leukemia
Treatment,leukemia,PROCESS_OF,Infant
Treatment,T-Lymphocyte,LOCATION_OF,Disease
Treatment,T-Lymphocyte,LOCATION_OF(SPEC),leukemia
Treatment,Cytarabine,ISA,Pharmacotherapy
Treatment,Hydrocortisone,ISA,Pharmacotherapy
Treatment,Methotrexate,ISA,Pharmacotherapy
Treatment,Drowsiness,ASSOCIATED_WITH,Leukoencephalopathy
Treatment,Physical findings,ASSOCIATED_WITH,Leukoencephalopathy
Treatment,Cranial Irradiation,TREATS,Patients
Treatment,Drowsiness,ISA,Symptoms
Treatment,Drowsiness,ISA,Symptoms
Treatment,Electroencephalogram abnormal,NEG_PREDISPOSES,Adverse event
Treatment,CSF PLEOCYTOSIS,NEG_PREDISPOSES,Adverse event
Treatment,Compartments,PART_OF,Marrow
Treatment,Neuraxis,LOCATION_OF,high-dose chemotherapy
Treatment,Prognosis bad,PROCESS_OF,Patients
Treatment,Maintenance therapy,NEG_USES,Pharmaceutical Preparations
Treatment,Leukemic Cell,LOCATION_OF,Toxic effect
Treatment,Methotrexate,TREATS,"Leukemia, B-Cell, Acute"
Treatment,"Leukemia, B-Cell, Acute",PROCESS_OF,Child
Treatment,Methotrexate,ISA,Therapeutic procedure
Treatment,Therapeutic procedure,USES,Methotrexate
Treatment,Treatment Protocols,USES,Methotrexate
Treatment,Pharmacotherapy,ADMINISTERED_TO,Patients
Treatment,Pharmacotherapy,USES,6-Mercaptopurine
Treatment,Pharmacotherapy,USES,Cyclophosphamide
Treatment,Pharmacotherapy,USES,Methotrexate
Treatment,Therapeutic procedure,ADMINISTERED_TO,Patients
Treatment,Maintenance therapy,USES,6-Mercaptopurine
Treatment,Maintenance therapy,USES,Methotrexate
Treatment,6-Mercaptopurine,TREATS,Patients
Treatment,Thioguanine,TREATS,Patients
Treatment,Thiopurine S-Methyltransferase,INTERACTS_WITH(INFER),6-Mercaptopurine
Treatment,Thiopurine S-Methyltransferase,INTERACTS_WITH(INFER),Thioguanine
Treatment,Thiopurine S-Methyltransferase,PART_OF,Patients
Treatment,Liver,LOCATION_OF,Toxic effect
Treatment,Thioguanine,ISA,Therapeutic procedure
Treatment,Therapeutic procedure,USES,Thioguanine
Treatment,Therapeutic procedure,compared_with,Therapeutic procedure
Treatment,Therapeutic procedure,higher_than,Therapeutic procedure
Treatment,Fusion Protein,PRODUCES,"BCR protein, human"
Treatment,Gleevec,ISA,Imatinib mesylate
Treatment,Protein-tyrosine kinase inhibitor,COEXISTS_WITH,Fusion Protein
Treatment,Bone Marrow Transplantation,TREATS,Adult
Treatment,Pharmacotherapy,TREATS,Adult
Treatment,imatinib,COEXISTS_WITH,BCR gene
Treatment,Pharmacotherapy,TREATS,cohort
Treatment,Therapeutic procedure,USES,Protein-tyrosine kinase inhibitor
Treatment,Pharmacotherapy,TREATS,cohort
Treatment,imatinib,ADMINISTERED_TO,cohort
Treatment,Therapeutic procedure,USES,Protein-tyrosine kinase inhibitor
Treatment,Pharmacotherapy,TREATS,"Leukemia, Myelocytic, Acute"
Treatment,Neoadjuvant Therapy,TREATS,Patients
Treatment,MLL gene,PART_OF,Patients
Treatment,inhibitors,AFFECTS,Disease
Treatment,"Leukemia, B-Cell, Acute",PROCESS_OF,Patients
Treatment,T-Lymphocyte,LOCATION_OF,Disease
Treatment,Neurotoxicity Syndromes,PROCESS_OF,Patients
Treatment,Vitelliform dystrophy,COEXISTS_WITH,Disease
Supportive Care,Therapeutic procedure,TREATS,Family
Supportive Care,Therapeutic procedure,TREATS,Patients
Supportive Care,Psychosocial care,TREATS,Family
Supportive Care,Psychosocial care,TREATS,Patients
Supportive Care,Detection,TREATS,Family
Supportive Care,Detection,TREATS,Patients
Supportive Care,Cessation of life,PROCESS_OF,Patients
