NCT,Subject,Predicate,Object
NCT03390387,"Leukemia, Lymphocytic, Acute",PROCESS_OF,Young adult
NCT01655875,Blood,LOCATION_OF,AMD 3100
NCT01655875,Acute leukemia,PROCESS_OF,Adult
NCT01655875,Marrow,LOCATION_OF,Transplanted organ and tissue status
NCT01655875,Marrow,LOCATION_OF,AMD 3100
NCT01655875,AMD 3100,TREATS,Acute leukemia
NCT01655875,AMD 3100,TREATS,Adult
NCT01655875,AMD 3100,TREATS(INFER),Acute leukemia
NCT01655875,Treatment Protocols,ISA,Therapeutic procedure
NCT01655875,AMD 3100,AFFECTS,Cells
NCT01655875,Participant,INTERACTS_WITH,Patients
NCT01655875,AMD 3100,ADMINISTERED_TO,Patients
NCT01655875,Bone Marrow,LOCATION_OF,AMD 3100
NCT01655875,Bone Marrow,LOCATION_OF,AMD 3100
NCT01655875,Bone Marrow,LOCATION_OF,Does push
NCT01655875,Pharmacotherapy,TREATS,Acute leukemia
NCT01655875,Blood,LOCATION_OF,AMD 3100
NCT01655875,Transplantation,TREATS,Acute leukemia
NCT01953770,Anthracycline Antibiotics,TREATS,Patients
NCT01953770,Methotrexate,TREATS,Patients
NCT01953770,Toxic effect,PROCESS_OF,Patients
NCT01953770,Late effect of,PROCESS_OF,Patients
NCT01953770,"Leukemia, Lymphocytic, Acute",PROCESS_OF,Child
NCT01953770,"Leukemia, Lymphocytic, Acute",PROCESS_OF,Adolescent
NCT01503632,6-Mercaptopurine,ISA,Therapeutic procedure
NCT01503632,6-Mercaptopurine,TREATS,Patients
NCT01503632,6-Mercaptopurine,TREATS(INFER),"Leukemia, Lymphocytic, Acute"
NCT01503632,"Leukemia, Lymphocytic, Acute",PROCESS_OF,Patients
NCT01503632,Therapeutic procedure,USES,6-Mercaptopurine
NCT01503632,Pharmaceutical Preparations,ADMINISTERED_TO,Patients
NCT01503632,"Leukemia, Lymphocytic, Acute",PROCESS_OF,Patients
NCT01503632,6-Mercaptopurine,TREATS,Child
NCT01503632,6-Mercaptopurine,TREATS(INFER),"Leukemia, Lymphocytic, Acute"
NCT01503632,"Leukemia, Lymphocytic, Acute",PROCESS_OF,Child
NCT01503632,Intervention regimes,COEXISTS_WITH,intervention program
NCT01503632,ethylene diurea,TREATS,Patients
NCT01503632,ethylene diurea,TREATS,pharmacist
NCT01503632,CAP - NOS,PROCESS_OF,Patients
NCT01216332,"Leukemia, Lymphocytic, Acute",PROCESS_OF,Patients
NCT01216332,trivalent influenza vaccine,TREATS,Patients
NCT01216332,trivalent influenza vaccine,TREATS(INFER),"Leukemia, Lymphocytic, Acute"
NCT01216332,Influenza virus vaccine,TREATS,Patients
NCT01216332,Influenza virus vaccine,TREATS(INFER),"Leukemia, Lymphocytic, Acute"
NCT01216332,"Leukemia, Lymphocytic, Acute",PROCESS_OF,Patients
NCT02451774,Induction,TREATS,"Leukemia, Lymphocytic, Acute"
NCT02451774,"Leukemia, Lymphocytic, Acute",PROCESS_OF,Patients
NCT02451774,Bone marrow specimen,LOCATION_OF,"Neoplasm, Residual"
NCT02451774,Bone marrow specimen,LOCATION_OF,"Neoplasm, Residual"
NCT02451774,Pentoxifylline,INHIBITS,phosphoric diester hydrolase
NCT02451774,Pharmaceutical Preparations,CAUSES,Apoptosis
NCT02451774,Antineoplastic Agents,INHIBITS,Disease remission
NCT02451774,Disease remission,PROCESS_OF,Patients
NCT02451774,"Leukemia, Lymphocytic, Acute",PROCESS_OF,Patients
NCT02451774,Pentoxifylline,ADMINISTERED_TO,Patients
NCT02451774,Placebos,ADMINISTERED_TO,Patients
NCT02451774,Therapeutic procedure,TREATS,Patients
NCT02451774,Therapeutic procedure,TREATS(INFER),"Leukemia, Lymphocytic, Acute"
NCT02451774,Pentoxifylline,AFFECTS,Apoptosis
NCT02451774,Senility,PROCESS_OF,Patients
NCT02451774,"Leukemia, Lymphocytic, Acute",PROCESS_OF,Patients
NCT02451774,Pentoxifylline,compared_with,Placebos
NCT03020030,Malignant Neoplasms,PROCESS_OF,Child
NCT03020030,"Leukemia, Lymphocytic, Acute",ISA,Malignant Neoplasms
NCT03020030,"Leukemia, Lymphocytic, Acute",PROCESS_OF,Child
NCT03020030,"Leukemia, Lymphocytic, Acute",PROCESS_OF(SPEC),Child
NCT03020030,Cells,LOCATION_OF,Malignant Neoplasms
NCT03020030,Disease,PROCESS_OF,Child
NCT03020030,Disease,PROCESS_OF,Adolescent
NCT03020030,Therapeutic procedure,TREATS,"Leukemia, Lymphocytic, Acute"
NCT03020030,Pharmaceutical Preparations,NEG_TREATS,Child
NCT03020030,Pharmaceutical Preparations,NEG_TREATS,Adolescent
NCT03020030,Pharmaceutical Preparations,NEG_TREATS(INFER),"Leukemia, Lymphocytic, Acute"
NCT03020030,"Leukemia, Lymphocytic, Acute",PROCESS_OF,Child
NCT03020030,"Leukemia, Lymphocytic, Acute",PROCESS_OF,Adolescent
NCT03020030,Therapeutic procedure,ADMINISTERED_TO,Child
NCT03020030,Therapeutic procedure,ADMINISTERED_TO,Adolescent
NCT03020030,Blood,LOCATION_OF,pegaspargase
NCT03020030,Therapeutic procedure,TREATS,"Leukemia, Lymphocytic, Acute"
NCT03020030,"Leukemia, Lymphocytic, Acute",PROCESS_OF,Child
NCT03020030,Therapeutic procedure,TREATS,Child
NCT03020030,Therapeutic procedure,TREATS(INFER),"Leukemia, Lymphocytic, Acute"
NCT03020030,Blood,LOCATION_OF,leukemia
NCT03020030,Cells,LOCATION_OF,Genetic Materials
NCT03020030,Chromosomes,LOCATION_OF,leukemia
NCT03020030,Leukemic Cell,LOCATION_OF,leukemia
NCT03020030,Marrow,LOCATION_OF,leukemia
NCT03020030,leukemia,PROCESS_OF,Child
NCT03020030,Genes,PART_OF,Leukemic Cell
NCT03020030,Therapeutic procedure,TREATS,Participant
NCT03020030,Therapeutic procedure,TREATS,Participant
NCT03020030,Pharmaceutical Preparations,TREATS,"Leukemia, Lymphocytic, Acute"
NCT03020030,pegaspargase,ISA,Pharmaceutical Preparations
NCT03020030,pegaspargase,TREATS(SPEC),"Leukemia, Lymphocytic, Acute"
NCT03020030,Therapeutic procedure,CAUSES,Adverse effects
NCT03020030,Blood,LOCATION_OF,pegaspargase
NCT03020030,Pharmaceutical Preparations,compared_with,pegaspargase
NCT03020030,Pharmaceutical Preparations,higher_than,pegaspargase
NCT03020030,"Leukemia, Lymphocytic, Acute",PROCESS_OF,Child
NCT03020030,"Leukemia, Lymphocytic, Acute",PROCESS_OF,Adolescent
NCT00042341,"Leukemia, Lymphocytic, Acute",PROCESS_OF,Adult
NCT00042341,clofarabine,ISA,Therapeutic procedure
NCT00042341,clofarabine,ISA,Injection procedure
NCT00042341,clofarabine,TREATS,"Leukemia, Lymphocytic, Acute"
NCT00042341,Medication Management,METHOD_OF,Therapeutic procedure
NCT00042341,clofarabine,TREATS,Patients
NCT00042341,clofarabine,TREATS,Patients
NCT01901367,"Leukemia, Lymphocytic, Acute",PROCESS_OF,Patients
NCT01901367,Metabolic syndrome,PROCESS_OF,Patients
NCT01901367,"Leukemia, Lymphocytic, Acute",PROCESS_OF,Patients
NCT01901367,Body Weight decreased,PROCESS_OF,Patients
NCT01901367,"Leukemia, Lymphocytic, Acute, L1",PROCESS_OF,Patients
NCT01901367,Intervention regimes,TREATS,Patients
NCT01901367,Glucose,TREATS,Patients
NCT01901367,Insulin,TREATS,Patients
NCT01901367,Serum,LOCATION_OF,Glucose
NCT01901367,Leptin,TREATS,Patients
NCT01901367,Fatigue,PROCESS_OF,Participant
NCT01901367,Acute leukemia,PROCESS_OF,Patients
NCT00439296,Pharmacotherapy,USES,Pharmaceutical Preparations
NCT00439296,ABT751,TREATS,"Leukemia, Lymphocytic, Acute"
NCT00439296,Pharmacotherapy,ISA,Therapeutic procedure
NCT00439296,Pharmacotherapy,TREATS(SPEC),Child
NCT00439296,"Leukemia, Lymphocytic, Acute",PROCESS_OF,Child
NCT00439296,Therapeutic procedure,TREATS,Child
NCT00439296,Therapeutic procedure,TREATS(INFER),"Leukemia, Lymphocytic, Acute"
NCT00439296,Dexamethasone,ISA,Pharmaceutical Preparations
NCT00439296,Ara-C,ISA,Cytarabine
NCT00439296,Antineoplastic Agents,ISA,Pharmaceutical Preparations
NCT00439296,Antineoplastic Agents,TREATS,Malignant Neoplasms
NCT00439296,ABT751,ADMINISTERED_TO,Child
NCT00439296,Dexamethasone,COEXISTS_WITH,ABT751
NCT00439296,Dexamethasone,TREATS,"Leukemia, Lymphocytic, Acute"
NCT00439296,Doxorubicin,COEXISTS_WITH,ABT751
NCT00439296,Doxorubicin,TREATS,"Leukemia, Lymphocytic, Acute"
NCT00439296,pegaspargase,TREATS,"Leukemia, Lymphocytic, Acute"
NCT00439296,pegaspargase,COEXISTS_WITH,ABT751
NCT00440726,Pharmacotherapy,USES,Pharmaceutical Preparations
NCT00440726,bortezomib,TREATS,"Leukemia, Lymphocytic, Acute"
NCT00440726,Multiple Myeloma,ISA,Hematopoietic Neoplasms
NCT00440726,Multiple Myeloma,PROCESS_OF,Adult
NCT00440726,Medication Management,TREATS,Adult
NCT00440726,bortezomib,ISA,Pharmaceutical Preparations
NCT00440726,Animals,LOCATION_OF,bortezomib
NCT00440726,Mus,ISA,Animals
NCT00440726,Mus,LOCATION_OF(SPEC),bortezomib
NCT00440726,Malignant Neoplasms,PROCESS_OF,Adult
NCT00440726,Malignant Neoplasms,PROCESS_OF,Child
NCT00440726,Ara-C,ISA,Cytarabine
NCT00440726,bortezomib,ISA,Pharmaceutical Preparations
NCT00440726,bortezomib,ADMINISTERED_TO,Child
NCT00440726,Pharmacotherapy,TREATS,"Leukemia, Lymphocytic, Acute"
NCT02046694,6-Mercaptopurine,TREATS,Child
NCT02046694,6-Mercaptopurine,TREATS(INFER),"Leukemia, Lymphocytic, Acute"
NCT02046694,"Leukemia, Lymphocytic, Acute",PROCESS_OF,Child
NCT02046694,6-Mercaptopurine,TREATS,Child
NCT02046694,6-Mercaptopurine,TREATS(INFER),"Leukemia, Lymphocytic, Acute"
NCT02046694,"Leukemia, Lymphocytic, Acute",PROCESS_OF,Child
NCT02046694,6-Mercaptopurine,CAUSES,Adverse effects
NCT02046694,6-Mercaptopurine,PREVENTS,Adverse effects
NCT02046694,Allopurinol,STIMULATES,6-Mercaptopurine
NCT02046694,Inflammatory Bowel Diseases,PROCESS_OF,Child
NCT02046694,Tumor Lysis Syndrome,COEXISTS_WITH,"Leukemia, Lymphocytic, Acute"
NCT02046694,Medication Management,TREATS,Tumor Lysis Syndrome
NCT02046694,6-Mercaptopurine,TREATS,Child
NCT02046694,6-Mercaptopurine,TREATS(INFER),"Leukemia, Lymphocytic, Acute"
NCT02046694,Allopurinol,TREATS,Child
NCT02046694,Allopurinol,TREATS(INFER),"Leukemia, Lymphocytic, Acute"
NCT02046694,"Leukemia, Lymphocytic, Acute",PROCESS_OF,Child
NCT02046694,Physical Examination,USES,6-Mercaptopurine
NCT02046694,Physical Examination,USES,Methotrexate
NCT02046694,6-Mercaptopurine,TREATS,"Leukemia, Lymphocytic, Acute, L1"
NCT03187977,brief intervention,TREATS,Patients
NCT03187977,brief intervention,TREATS,Survivors
NCT03187977,Therapeutic procedure,TREATS,"Leukemia, Lymphocytic, Acute"
NCT03187977,Therapeutic procedure,TREATS,cohort
NCT03187977,Therapeutic procedure,TREATS,Participant
NCT03187977,Intervention regimes,TREATS,Survivors
NCT03187977,Intervention regimes,TREATS,Survivors
NCT03265106,"Leukemia, B-Cell, Acute",PROCESS_OF,Patients
NCT03265106,Lymphoma,PROCESS_OF,Patients
NCT03265106,Chemotherapy-Oncologic Procedure,METHOD_OF,Stem cell transplant
NCT02906371,CD19 gene,INTERACTS_WITH(INFER),tocilizumab
NCT02906371,CD19 gene,PART_OF,Patients
NCT02906371,tocilizumab,TREATS,Patients
NCT02906371,CD19 gene,PART_OF,Patients
NCT02906371,"Leukemia, B-Cell, Acute",ISA,"Leukemia, Lymphocytic, Acute"
NCT02906371,Management procedure,TREATS,Patients
NCT02906371,CD19 gene,TREATS,Cytokine release syndrome
NCT02906371,tocilizumab,TREATS,Cytokine release syndrome
NCT01574274,Oncaspar,ASSOCIATED_WITH,"Leukemia, Lymphocytic, Acute, L1"
NCT01574274,Oncaspar,ASSOCIATED_WITH,Large Cell Lymphoblastic Lymphoma
NCT01574274,ASPARAGINASE,TREATS,"Leukemia, Lymphocytic, Acute"
NCT01574274,ASPARAGINASE,TREATS,Large Cell Lymphoblastic Lymphoma
NCT01574274,Muscle,LOCATION_OF,Elspar
NCT01574274,Elspar,ISA,ASPARAGINASE
NCT01574274,"Leukemia, Lymphocytic, Acute",PROCESS_OF,Patients
NCT01574274,Muscle,LOCATION_OF,Elspar
NCT01574274,Veins,LOCATION_OF,Oncaspar
NCT01574274,Oncaspar,ADMINISTERED_TO,Research Personnel
NCT01574274,"Leukemia, Lymphocytic, Acute",PROCESS_OF,Child
NCT01574274,"Leukemia, Lymphocytic, Acute",PROCESS_OF,Adolescent
NCT01574274,"Leukemia, Lymphocytic, Acute",PROCESS_OF,Child
NCT01574274,"Leukemia, Lymphocytic, Acute",PROCESS_OF,Adolescent
NCT01574274,Therapeutic procedure,TREATS,Child
NCT01574274,Therapeutic procedure,TREATS,Adolescent
NCT01574274,Therapeutic procedure,TREATS(INFER),"Leukemia, Lymphocytic, Acute"
NCT01574274,"Neoplasm, Residual",ISA,Disease
NCT01574274,Leukemic Cell,LOCATION_OF,Disease
NCT01574274,Leukemic Cell,LOCATION_OF(SPEC),"Neoplasm, Residual"
NCT01574274,"Leukemia, Lymphocytic, Acute",PROCESS_OF,Child
NCT01574274,"Leukemia, Lymphocytic, Acute",PROCESS_OF,Adolescent
NCT01574274,leukemia,PROCESS_OF,Participant
NCT01574274,Therapeutic procedure,TREATS,Participant
NCT01574274,Therapeutic procedure,TREATS(INFER),leukemia
NCT01574274,"Tumor cells, malignant",PART_OF,Marrow
NCT01574274,"Leukemia, Lymphocytic, Acute",PROCESS_OF,Child
NCT01574274,"Leukemia, Lymphocytic, Acute",PROCESS_OF,Adolescent
NCT01574274,Blood,LOCATION_OF,Infection
NCT01574274,Therapeutic procedure,PREVENTS,Infection
NCT01574274,"Leukemia, Lymphocytic, Acute",PROCESS_OF,Child
NCT01574274,"Leukemia, Lymphocytic, Acute",PROCESS_OF,Adolescent
NCT01574274,Large Cell Lymphoblastic Lymphoma,PROCESS_OF,Child
NCT01574274,Large Cell Lymphoblastic Lymphoma,PROCESS_OF,Adolescent
NCT01574274,Therapeutic procedure,ADMINISTERED_TO,Child
NCT01574274,Therapeutic procedure,ADMINISTERED_TO,Adolescent
NCT01574274,Vascular infections,PROCESS_OF,Child
NCT01574274,Vascular infections,PROCESS_OF,Adolescent
NCT01574274,Antibiotics,ISA,Pharmaceutical Preparations
NCT01574274,Fever,PROCESS_OF,Child
NCT01574274,leukemia,PROCESS_OF,Child
NCT01574274,Lymphoma,PROCESS_OF,Child
NCT01574274,Fever,PROCESS_OF,Participant
NCT01574274,"Leukemia, Lymphocytic, Acute",PROCESS_OF,Child
NCT01574274,"Leukemia, Lymphocytic, Acute",PROCESS_OF,Adolescent
NCT01574274,Pharmaceutical Preparations,TREATS,"Leukemia, Lymphocytic, Acute"
NCT01574274,Pharmaceutical Preparations,TREATS,Large Cell Lymphoblastic Lymphoma
NCT01574274,Blood,LOCATION_OF,"Leukemia, Lymphocytic, Acute"
NCT01574274,Blood,LOCATION_OF,Large Cell Lymphoblastic Lymphoma
NCT01574274,Bone marrow specimen,LOCATION_OF,"Leukemia, Lymphocytic, Acute"
NCT01574274,Bone marrow specimen,LOCATION_OF,Large Cell Lymphoblastic Lymphoma
NCT01574274,leukemia,PROCESS_OF,Child
NCT01574274,Therapeutic procedure,TREATS,Child
NCT01574274,Therapeutic procedure,TREATS(INFER),leukemia
NCT01574274,"Leukemia, Lymphocytic, Acute",PROCESS_OF,Child
NCT01574274,"Leukemia, Lymphocytic, Acute",PROCESS_OF,Adolescent
NCT01574274,pegaspargase,TREATS,Child
NCT01574274,pegaspargase,TREATS,Adolescent
NCT01574274,pegaspargase,TREATS(INFER),"Leukemia, Lymphocytic, Acute"
NCT01574274,pegaspargase,TREATS(INFER),Large Cell Lymphoblastic Lymphoma
NCT01574274,Large Cell Lymphoblastic Lymphoma,PROCESS_OF,Child
NCT01574274,Large Cell Lymphoblastic Lymphoma,PROCESS_OF,Adolescent
NCT01574274,Oncaspar,TREATS,Child
NCT01574274,Oncaspar,TREATS,Adolescent
NCT01574274,Oncaspar,TREATS(INFER),"Leukemia, Lymphocytic, Acute"
NCT01574274,Oncaspar,TREATS(INFER),Large Cell Lymphoblastic Lymphoma
NCT03157323,Therapeutic procedure,TREATS,Child
NCT03157323,Therapeutic procedure,TREATS,"Leukemia, Lymphocytic, Acute"
NCT03157323,Therapeutic procedure,TREATS,Adolescent
NCT03157323,dietary intervention,TREATS,Child
NCT03157323,"Leukemia, Lymphocytic, Acute",ISA,Malignant Neoplasms
NCT03157323,"Leukemia, Lymphocytic, Acute",PROCESS_OF,Child
NCT03157323,Intervention regimes,TREATS,Child
NCT03157323,Cancer Treatment,TREATS,Vulnerable Populations
NCT03157323,Therapeutic procedure,TREATS,Child
NCT03157323,Therapeutic procedure,TREATS,"Leukemia, Lymphocytic, Acute"
NCT03157323,Therapeutic procedure,TREATS,Adolescent
NCT03157323,dietary intervention,TREATS,Child
NCT03157323,dietary intervention,TREATS,Adolescent
NCT03157323,Malignant Neoplasms,PROCESS_OF,Child
NCT03157323,Malignant Neoplasms,PROCESS_OF,Patients
NCT03157323,Therapeutic procedure,TREATS,Child
NCT03157323,Therapeutic procedure,TREATS,"Leukemia, Lymphocytic, Acute"
NCT03157323,Therapeutic procedure,TREATS,Adolescent
NCT01423747,Hematopoietic Stem Cell Transplantation,compared_with,Hematopoietic Stem Cell Transplantation
NCT01423747,Stem cell transplant,TREATS,Child
NCT01423747,Stem cell transplant,TREATS,Adolescent
NCT01423747,Pharmacotherapy,PRECEDES,Hematopoietic Stem Cell Transplantation
NCT01423747,"Leukemia, Lymphocytic, Acute",PROCESS_OF,Patients
NCT01423747,Stem cell transplant,AFFECTS,leukemia
NCT01423747,"Leukemia, Lymphocytic, Acute",PROCESS_OF,Child
NCT01423747,"Leukemia, Lymphocytic, Acute",PROCESS_OF,Adolescent
NCT01423747,Stem cell transplant,TREATS,Child
NCT01423747,Stem cell transplant,TREATS,Adolescent
NCT01423747,Stem cell transplant,TREATS(INFER),"Leukemia, Lymphocytic, Acute"
NCT01423500,"Leukemia, Lymphocytic, Acute",PROCESS_OF,Child
NCT01423500,"Leukemia, Lymphocytic, Acute",PROCESS_OF,Adolescent
NCT01423500,Hematopoietic Stem Cell Transplantation,TREATS,Child
NCT01423500,Hematopoietic Stem Cell Transplantation,TREATS,Adolescent
NCT01423500,Hematopoietic Stem Cell Transplantation,TREATS(INFER),"Leukemia, Lymphocytic, Acute"
NCT01423500,Hematopoietic Stem Cell Transplantation,compared_with,Hematopoietic Stem Cell Transplantation
NCT01423500,Pharmacotherapy,PRECEDES,Hematopoietic Stem Cell Transplantation
NCT01423500,"Leukemia, Lymphocytic, Acute",PROCESS_OF,Patients
NCT01423500,"Leukemia, Lymphocytic, Acute",PROCESS_OF,Child
NCT01423500,"Leukemia, Lymphocytic, Acute",PROCESS_OF,Adolescent
NCT01423500,Stem cell transplant,TREATS,Child
NCT01423500,Stem cell transplant,TREATS,Adolescent
NCT01423500,Stem cell transplant,TREATS(INFER),"Leukemia, Lymphocytic, Acute"
NCT02314273,"Leukemia, Lymphocytic, Acute",PROCESS_OF,Patients
NCT02314273,Thrombocytopenia,AFFECTS,Patients
NCT02314273,Therapeutic procedure,ADMINISTERED_TO,Patients
NCT02314273,Pharmacotherapy,TREATS,"Leukemia, Lymphocytic, Acute, L1"
NCT02314273,Thrombocytopenia,PROCESS_OF,Patients
NCT02314273,Therapeutic procedure,USES,Oprelvekin
NCT02314273,Oprelvekin,ADMINISTERED_TO,Patients
NCT02314273,Oprelvekin,TREATS,Patients
NCT02314273,Oprelvekin,TREATS(INFER),Thrombocytopenia
NCT03223753,"Leukemia, Lymphocytic, Acute",PROCESS_OF,Child
NCT03223753,Therapeutic procedure,TREATS,Malignant Neoplasms
NCT03223753,regular physical activity,TREATS,Energy level
NCT03223753,School attendance,AFFECTS,Webbing
NCT03223753,Patients,INTERACTS_WITH,member
NCT03223753,"Leukemia, Lymphocytic, Acute",PROCESS_OF,Child
NCT03223753,"Leukemia, Lymphocytic, Acute",PROCESS_OF,Adolescent
NCT02091245,Pharmaceutical Preparations,DISRUPTS,Leukemic Cell
NCT02091245,Pharmaceutical Preparations,ADMINISTERED_TO,Research Personnel
NCT02091245,Pharmaceutical Preparations,ADMINISTERED_TO,Participant
NCT02091245,Pharmaceutical Preparations,ADMINISTERED_TO,Participant
NCT02091245,Intrathecal Chemotherapy,ADMINISTERED_TO,Participant
NCT02091245,CNS disorder,PROCESS_OF,Participant
NCT02091245,Chemotherapy-Oncologic Procedure,ADMINISTERED_TO,Participant
NCT02336282,Therapeutic procedure,TREATS,Functional disorder
NCT02336282,Functional disorder,PROCESS_OF,Survivors
NCT02336282,"Leukemia, Lymphocytic, Acute, L1",PROCESS_OF,cohort
NCT02336282,Functional disorder,PROCESS_OF,Survivors
NCT02336282,Malignant Childhood Neoplasm,PROCESS_OF,Survivors
NCT02336282,Stimulation procedure,TREATS,Survivors
NCT02336282,Brain stimulation,ISA,Stimulation procedure
NCT02336282,Intervention regimes,COEXISTS_WITH,Stimulation procedure
NCT02336282,Intervention regimes,COEXISTS_WITH(SPEC),Brain stimulation
NCT02336282,"Leukemia, Lymphocytic, Acute",PROCESS_OF,Survivors
NCT02336282,Stimulation procedure,TREATS,Survivors
NCT02336282,Stimulation procedure,TREATS(INFER),"Leukemia, Lymphocytic, Acute"
NCT02336282,Entire scalp,PART_OF,Participant
NCT02336282,Stimulation procedure,ADMINISTERED_TO,Research Personnel
NCT02336282,Wanted,PROCESS_OF,Long-Term Survivors
NCT02336282,Intervention regimes,ADMINISTERED_TO,Survivors
NCT02336282,Functional disorder,PROCESS_OF,Survivors
NCT02336282,Stimulation procedure,TREATS,Functional disorder
NCT00846703,"Cam, topical lotion",TREATS,Patients
NCT00846703,Berlin-Frankfort-Munster protocol,TREATS,Obstruction
NCT00846703,6-Mercaptopurine,TREATS,Patients
NCT00846703,Methotrexate,TREATS,Patients
NCT00902213,Intervention regimes,TREATS,Child
NCT01506453,Vincristine,ISA,Therapeutic procedure
NCT01506453,Vincristine,TREATS,"Leukemia, Lymphocytic, Acute, L1"
NCT01506453,Vincristine,TREATS(SPEC),Patients
NCT01506453,Therapeutic procedure,TREATS,Pain
NCT01506453,Therapeutic procedure,TREATS,Patients
NCT01506453,Therapeutic procedure,USES,Vincristine
NCT01506453,Morphine,TREATS,Pain
NCT01506453,Morphine,TREATS,Pain score
NCT01506453,Vincristine,ADMINISTERED_TO,Patients
NCT01506453,gabapentin,TREATS,Patients
NCT01506453,Therapeutic procedure,TREATS,"Leukemia, Lymphocytic, Acute"
NCT01506453,"Leukemia, Lymphocytic, Acute",PROCESS_OF,Patients
NCT01506453,Placebos,ADMINISTERED_TO,Participant
NCT01506453,gabapentin,ADMINISTERED_TO,Participant
NCT01506453,Morphine,TREATS,Pain
NCT01506453,Pain Measurement,USES,Pharmaceutical Preparations
NCT01506453,Therapeutic procedure,TREATS,Pain
NCT01506453,Analgesics,COEXISTS_WITH,gabapentin
NCT01506453,"Leukemia, Lymphocytic, Acute",PROCESS_OF,Participant
NCT01506453,Treatment Protocols,TREATS,Participant
NCT01506453,Treatment Protocols,TREATS(INFER),"Leukemia, Lymphocytic, Acute"
NCT01506453,gabapentin,TREATS,Participant
NCT01506453,gabapentin,TREATS(INFER),"Leukemia, Lymphocytic, Acute"
NCT01506453,"Leukemia, Lymphocytic, Acute, L1",ISA,"Leukemia, Lymphocytic, Acute"
NCT01506453,Vincristine,ISA,Therapeutic procedure
