PMID,Sentence,Subject,Predicate,Object,Source,Comments
29417201,"The complete remission (CR) rate was higher in the CART19 group than that in the chemotherapy group (90.9 vs 37.9%, P = 0.000).",Chemotherapy,CAUSES,In complete remission,UMLS,
29417201,"The complete remission (CR) rate was higher in the CART19 group than that in the chemotherapy group (90.9 vs 37.9%, P = 0.000).",*CD19CAR-CD3zeta-4-1BB-expressing autologous T-lymphocytes Complete Remission Rate*,higher_than,*Chemotherapy Complete Remission Rate*,UMLS,
29417201,"For patients relapsed after allo-HSCT and chemotherapy, CR rates were 100% (8/8) vs 48.0% (12/25) (P = 0.009) and 85.7% (12/14) vs 31.7% (13/41) (P = 0.000)",Allogeneic hematopoietic stem cell transplantation,TREATS,Childhood acute lymphoblastic leukemia,UMLS,
29417201,"For patients relapsed after allo-HSCT and chemotherapy, CR rates were 100% (8/8) vs 48.0% (12/25) (P = 0.009) and 85.7% (12/14) vs 31.7% (13/41) (P = 0.000)",Allogeneic hematopoietic stem cell transplantation,PRECEDES,Recurrent childhood acute lymphoblastic leukemia,UMLS,Need MAY_PRECEDE option
29417201,"Moreover, a higher percentage in the CART19 group had results below the threshold for minimal residual disease (100 vs 7.58%, P = 0.000)",CD19CAR-CD3zeta-4-1BB-expressing autologous T-lymphocytes,CAUSES,Minimal residual disease negativity,UMLS,
29417201,"Moreover, a higher percentage in the CART19 group had results below the threshold for minimal residual disease (100 vs 7.58%, P = 0.000)",Chemotherapy,CAUSES,Minimal residual disease negativity,UMLS,
29417201,"Moreover, a higher percentage in the CART19 group had results below the threshold for minimal residual disease (100 vs 7.58%, P = 0.000)",*CD19CAR-CD3zeta-4-1BB-expressing autologous T-lymphocytes MDR Negativity*,higher_than,*Chemotherapy MDR negativity*,UMLS,
29417201,"In survival analysis, the overall survival rate at 12 months was higher in the CART19 group than that in the chemotherapy group (60.9 vs 10.1%, P = 0.000).",Survival analysis,OCCURS_IN,Study protocol,UMLS,
29417201,"In survival analysis, the overall survival rate at 12 months was higher in the CART19 group than that in the chemotherapy group (60.9 vs 10.1%, P = 0.000).",*CD19CAR-CD3zeta-4-1BB-expressing autologous T-lymphocytes Overall Survival Rate*,higher_than,*Chemotherapy Overall Survival Rate*,UMLS,
29417201,"For post-transplant patients achieving CR, 25.0% (2/8) and 75.0% (9/12) complicated with GVHD (P = 0.04) in the CART19 group and chemotherapy group, respectively.",Graft-vs-Host Disease,COMPLICATES,Allogeneic hematopoietic stem cell transplantation,UMLS,
29417201,"For all CR patients, the median duration of absolute neutrophil count less than 500/μL and platelet count less than 20,000/μL were longer in the CART19 group than in the chemotherapy group (p = 0.0047 and 0.0003, respectively)",Absolute neutrophil count decreased,ASSOCIATED_WITH,CD19CAR-CD3zeta-4-1BB-expressing autologous T-lymphocytes,UMLS,
29417201,"For all CR patients, the median duration of absolute neutrophil count less than 500/μL and platelet count less than 20,000/μL were longer in the CART19 group than in the chemotherapy group (p = 0.0047 and 0.0003, respectively)",Thrombocytopenia,ASSOCIATED_WITH,CD19CAR-CD3zeta-4-1BB-expressing autologous T-lymphocytes,UMLS,
29417201,"For all CR patients, the median duration of absolute neutrophil count less than 500/μL and platelet count less than 20,000/μL were longer in the CART19 group than in the chemotherapy group (p = 0.0047 and 0.0003, respectively)",Severe myelosuppression,ASSOCIATED_WITH,CD19CAR-CD3zeta-4-1BB-expressing autologous T-lymphocytes,UMLS,
29417201,"For all CR patients, the median duration of absolute neutrophil count less than 500/μL and platelet count less than 20,000/μL were longer in the CART19 group than in the chemotherapy group (p = 0.0047 and 0.0003, respectively)",*CD19CAR-CD3zeta-4-1BB-expressing autologous T-lymphocytes Myelosuppression*,higher_than,*Chemotherapy Myelosuppression*,UMLS,
,,,,,,
12036898,Deletion analysis of p16(INKa) and p15(INKb) in relapsed childhood acute lymphoblastic leukemia,Gene deletion analysis,ANALYZES,CDKN2A gene,UMLS,"p16 gene is atom, UMLS terms is CDKN2A gene"
12036898,Deletion analysis of p16(INKa) and p15(INKb) in relapsed childhood acute lymphoblastic leukemia,Gene deletion analysis,ANALYZES,CDKN2B gene,UMLS,
12036898,Deletion analysis of p16(INKa) and p15(INKb) in relapsed childhood acute lymphoblastic leukemia,Gene deletion analysis,PART_OF,CDKN2A gene analysis,UMLS,
12036898,Deletion analysis of p16(INKa) and p15(INKb) in relapsed childhood acute lymphoblastic leukemia,Gene deletion analysis,PART_OF,*CDKN2B gene analysis*,UMLS,
12036898,Deletion analysis of p16(INKa) and p15(INKb) in relapsed childhood acute lymphoblastic leukemia,CDKN2A gene analysis,OCCURS_IN,Recurrent childhood acute lymphoblastic leukemia,UMLS,would want CDKN2A gene deletion analysis specifically
12036898,Deletion analysis of p16(INKa) and p15(INKb) in relapsed childhood acute lymphoblastic leukemia,*CDKN2B gene analysis*,OCCURS_IN,Recurrent childhood acute lymphoblastic leukemia,UMLS,
12036898,This study aimed at determining the prevalence of INK4 deletions and their impact on outcome in 125 children with acute lymphoblastic leukemia (ALL) at first relapse using real-time quantitative polymerase chain reaction,Purpose of study,MEASURES,Statistical prevalence,UMLS,
12036898,Deletion analysis of p16(INKa) and p15(INKb) in relapsed childhood acute lymphoblastic leukemia,Purpose of study,MEASURES,Disease outcome,UMLS,
12036898,This study aimed at determining the prevalence of INK4 deletions and their impact on outcome in 125 children with acute lymphoblastic leukemia (ALL) at first relapse using real-time quantitative polymerase chain reaction,CDKN2A gene deletion,ASSOCIATED_WITH,Statistical prevalence,UMLS,
12036898,This study aimed at determining the prevalence of INK4 deletions and their impact on outcome in 125 children with acute lymphoblastic leukemia (ALL) at first relapse using real-time quantitative polymerase chain reaction,CDKN2A gene deletion,OCCURS_IN,Recurrent childhood acute lymphoblastic leukemia,UMLS,ink4 atom maps to CDKN2A gene concept but not CDKN2B gene concept (INK4b maps to this) but authors meants both in this sentence)
12036898,This study aimed at determining the prevalence of INK4 deletions and their impact on outcome in 125 children with acute lymphoblastic leukemia (ALL) at first relapse using real-time quantitative polymerase chain reaction,Quantitative real-time polymerase chain reaction,MEASURES,CDKN2A gene deletion,UMLS,
12036898,This study aimed at determining the prevalence of INK4 deletions and their impact on outcome in 125 children with acute lymphoblastic leukemia (ALL) at first relapse using real-time quantitative polymerase chain reaction,Recurrent childhood acute lymphoblastic leukemia,DISEASE_MAY_HAVE_MOLECULAR_ABNORMALITY,CDKN2A gene deletion,NCI Thesaurus,
12036898,This study aimed at determining the prevalence of INK4 deletions and their impact on outcome in 125 children with acute lymphoblastic leukemia (ALL) at first relapse using real-time quantitative polymerase chain reaction,CDKN2B gene deletion,ASSOCIATED_WITH,Statistical prevalence,UMLS,
12036898,This study aimed at determining the prevalence of INK4 deletions and their impact on outcome in 125 children with acute lymphoblastic leukemia (ALL) at first relapse using real-time quantitative polymerase chain reaction,CDKN2B gene deletion,OCCURS_IN,Recurrent childhood acute lymphoblastic leukemia,UMLS,
12036898,This study aimed at determining the prevalence of INK4 deletions and their impact on outcome in 125 children with acute lymphoblastic leukemia (ALL) at first relapse using real-time quantitative polymerase chain reaction,Quantitative real-time polymerase chain reaction,MEASURES,CDKN2B gene deletion,UMLS,
12036898,This study aimed at determining the prevalence of INK4 deletions and their impact on outcome in 125 children with acute lymphoblastic leukemia (ALL) at first relapse using real-time quantitative polymerase chain reaction,Recurrent childhood acute lymphoblastic leukemia,DISEASE_MAY_HAVE_MOLECULAR_ABNORMALITY,CDKN2B gene deletion,NCI Thesaurus,
12036898,This study aimed at determining the prevalence of INK4 deletions and their impact on outcome in 125 children with acute lymphoblastic leukemia (ALL) at first relapse using real-time quantitative polymerase chain reaction,CDKN2A gene ,GENE_ASSOCIATED_WITH_DISEASE,Recurrent childhood acute lymphoblastic leukemia,NCI Thesaurus,
12036898,This study aimed at determining the prevalence of INK4 deletions and their impact on outcome in 125 children with acute lymphoblastic leukemia (ALL) at first relapse using real-time quantitative polymerase chain reaction,CDKN2B gene,GENE_ASSOCIATED_WITH_DISEASE,Recurrent childhood acute lymphoblastic leukemia,NCI Thesaurus,
12036898,Patients were enrolled into relapse trials ALL-REZ BFM (ALL-Relapse Berlin-Frankfurt-Münster) 90 and 96,ALL-BFM-90 protocol,TREATS,Recurrent childhood acute lymphoblastic leukemia,UMLS,
12036898,Patients were enrolled into relapse trials ALL-REZ BFM (ALL-Relapse Berlin-Frankfurt-Münster) 90 and 96,*ALL-BFM-96 protocol*,TREATS,Recurrent childhood acute lymphoblastic leukemia,UMLS,have all-bfm 95 protocol but not 96
12036898,A highly significant association of both gene deletions was found with the 2 major adverse prognostic factors known for relapsed childhood ALL: T-cell immunophenotype and first remission duration,Recurrent childhood acute lymphoblastic leukemia,DISEASE_MAY_HAVE_NORMAL_CELL_ORIGIN,T lymphocyte,NCI Thesaurus,
12036898,A highly significant association of both gene deletions was found with the 2 major adverse prognostic factors known for relapsed childhood ALL: T-cell immunophenotype and first remission duration,T-cell immunophenotype,ISA,*Adverse prognostic factor*,UMLS,
12036898,A highly significant association of both gene deletions was found with the 2 major adverse prognostic factors known for relapsed childhood ALL: T-cell immunophenotype and first remission duration,Prognostic factors,AFFECTS,Recurrent childhood acute lymphoblastic leukemia,UMLS,Ideally would say recurrent childhood ALL HAD_ADVERSE_PROGNOSTIC_FACTOR T-cell immunophenotype
12036898,A highly significant association of both gene deletions was found with the 2 major adverse prognostic factors known for relapsed childhood ALL: T-cell immunophenotype and first remission duration,Early relapse of acute lymphoblastic leukemia,ISA,Prognostic factors,UMLS,
12036898,A highly significant association of both gene deletions was found with the 2 major adverse prognostic factors known for relapsed childhood ALL: T-cell immunophenotype and first remission duration,Late relapse of acute lymphoblastic leukemia,ISA,Prognostic factors,UMLS,need relationship for good prognostic factor / bad prognostic factor
12036898,A highly significant association of both gene deletions was found with the 2 major adverse prognostic factors known for relapsed childhood ALL: T-cell immunophenotype and first remission duration,Recurrent childhood acute lymphoblastic leukemia,*HAS_PROGNOSTIC_FACTOR*,Early relapse of acute lymphoblastic leukemia,New,
12036898,A highly significant association of both gene deletions was found with the 2 major adverse prognostic factors known for relapsed childhood ALL: T-cell immunophenotype and first remission duration,Recurrent childhood acute lymphoblastic leukemia,*HAS_PROGNOSTIC_FACTOR*,T lymphocyte,New,"or T-cell immunophenotype ""ISA_PROGNOSTIC_FACTOR"" recurrent childhood ALL"
12036898,A highly significant association of both gene deletions was found with the 2 major adverse prognostic factors known for relapsed childhood ALL: T-cell immunophenotype and first remission duration,CDKN2A gene deletion,ASSOCIATED_WITH,T-cell lymphoma/leukemia,UMLS,would really want to say recurrent childhood ALL with T-cell immunophenotype
12036898,A highly significant association of both gene deletions was found with the 2 major adverse prognostic factors known for relapsed childhood ALL: T-cell immunophenotype and first remission duration,CDKN2B gene deletion,ASSOCIATED_WITH,T-cell lymphoma/leukemia,UMLS,
12036898,A highly significant association of both gene deletions was found with the 2 major adverse prognostic factors known for relapsed childhood ALL: T-cell immunophenotype and first remission duration,CDKN2A gene deletion,ASSOCIATED_WITH,Early relapse of acute lymphoblastic leukemia,UMLS,
12036898,A highly significant association of both gene deletions was found with the 2 major adverse prognostic factors known for relapsed childhood ALL: T-cell immunophenotype and first remission duration,CDKN2B gene deletion,ASSOCIATED_WITH,Early relapse of acute lymphoblastic leukemia,UMLS,
12036898,There was no correlation between INK4 deletions and probability of event-free survival. These findings argue against an independent prognostic role of INK4 deletions in relapsed childhood ALL,CDKN2A gene deletion,NEG_ASSOCIATED_WITH,Event-free survival,UMLS,recurrent childhood ALL EFS (need concept for this); have disease-free survival with EFS as atom but not really the same thing
12036898,There was no correlation between INK4 deletions and probability of event-free survival. These findings argue against an independent prognostic role of INK4 deletions in relapsed childhood ALL,CDKN2B gene deletion,NEG_ASSOCIATED_WITH,Event-free survival,UMLS,
12036898,There was no correlation between INK4 deletions and probability of event-free survival. These findings argue against an independent prognostic role of INK4 deletions in relapsed childhood ALL,CDKN2A gene deletion,*NEG_ISA_PROGNOSTIC_FACTOR*,Recurrent childhood acute lymphoblastic leukemia,New,
12036898,There was no correlation between INK4 deletions and probability of event-free survival. These findings argue against an independent prognostic role of INK4 deletions in relapsed childhood ALL,CDKN2B gene deletion,*NEG_ISA_PROGNOSTIC_FACTOR*,Recurrent childhood acute lymphoblastic leukemia,New,
,,,,,,
28983018,Phase 1 study of the anti-CD22 immunotoxin moxetumomab pasudotox for childhood acute lymphoblastic leukemia,Immunotoxin HA22,TREATS,Childhood acute lymphoblastic leukemia,UMLS,Moxetumomab pasudotox is atom; old school L1-L3 classification of childhood ALL in UMLS
28983018,Phase 1 study of the anti-CD22 immunotoxin moxetumomab pasudotox for childhood acute lymphoblastic leukemia,Immunotoxin HA22,PART_OF,Phase I Clinical Trials,UMLS,
28983018,Phase 1 study of the anti-CD22 immunotoxin moxetumomab pasudotox for childhood acute lymphoblastic leukemia,Immunotoxin HA22,AFFECTS,"CD22 protein, human",UMLS,TARGETS would be better; NCI thesaurus has chemical_or_drug_affects_cell_type_or_tissue (and substance can be object)
28983018,Novel therapies are needed to overcome chemotherapy resistance for children with relapsed/refractory acute lymphoblastic leukemia (ALL). ,Drug resistance,COMPLICATES,Childhood acute lymphoblastic leukemia,UMLS,
28983018,Novel therapies are needed to overcome chemotherapy resistance for children with relapsed/refractory acute lymphoblastic leukemia (ALL). ,Drug resistance,OCCURS_IN,Recurrent childhood acute lymphoblastic leukemia,UMLS,
28983018,Novel therapies are needed to overcome chemotherapy resistance for children with relapsed/refractory acute lymphoblastic leukemia (ALL). ,Drug resistance,OCCURS_IN,Refractory childhood acute lymphoblsatic leukemia,UMLS,
28983018,Novel therapies are needed to overcome chemotherapy resistance for children with relapsed/refractory acute lymphoblastic leukemia (ALL). ,Drug resistance,ASSOCIATED_WITH,Chemotherapy,UMLS,No UMLS concept for chemotherapy resistance specifically
28983018,Moxetumomab pasudotox is a recombinant anti-CD22 immunotoxin.,Immunotoxin HA22,ISA,CD22 Immunotoxin,UMLS,
28983018,"A multicenter phase 1 study was conducted to determine the maximum-tolerated cumulative dose (MTCD) and evaluate safety, activity, pharmacokinetics, and immunogenicity of moxetumomab pasudotox in children, adolescents, and young adults with ALL (N = 55).",Phase I Clinical Trials,MEASURES,Maximum tolerated dose,UMLS,
28983018,"A multicenter phase 1 study was conducted to determine the maximum-tolerated cumulative dose (MTCD) and evaluate safety, activity, pharmacokinetics, and immunogenicity of moxetumomab pasudotox in children, adolescents, and young adults with ALL (N = 55).",Purpose of study,MEASURES,Maximum tolerated dose,UMLS,
28983018,This trial was registered at www.clinicaltrials.gov as #NCT00659425.,NCT00659425,ISA,Study Protocol,UMLS,
28983018,"A multicenter phase 1 study was conducted to determine the maximum-tolerated cumulative dose (MTCD) and evaluate safety, activity, pharmacokinetics, and immunogenicity of moxetumomab pasudotox in children, adolescents, and young adults with ALL (N = 55).",NCT00659425,ISA,Phase I Clinical Trials,UMLS,
28983018,"A multicenter phase 1 study was conducted to determine the maximum-tolerated cumulative dose (MTCD) and evaluate safety, activity, pharmacokinetics, and immunogenicity of moxetumomab pasudotox in children, adolescents, and young adults with ALL (N = 55).",NCT00659425,ISA,Multicenter Trials,UMLS,
28983018,"A multicenter phase 1 study was conducted to determine the maximum-tolerated cumulative dose (MTCD) and evaluate safety, activity, pharmacokinetics, and immunogenicity of moxetumomab pasudotox in children, adolescents, and young adults with ALL (N = 55).",NCT00659425,MEASURES,Maximum tolerated dose,UMLS,Measures not relationship in SemMedDB
28983018,"A multicenter phase 1 study was conducted to determine the maximum-tolerated cumulative dose (MTCD) and evaluate safety, activity, pharmacokinetics, and immunogenicity of moxetumomab pasudotox in children, adolescents, and young adults with ALL (N = 55).",Phase I Clinical Trials,MEASURES,Identify product efficacy and safety issues,UMLS,
28983018,"A multicenter phase 1 study was conducted to determine the maximum-tolerated cumulative dose (MTCD) and evaluate safety, activity, pharmacokinetics, and immunogenicity of moxetumomab pasudotox in children, adolescents, and young adults with ALL (N = 55).",NCT00659425,MEASURES,Identify product efficacy and safety issues,UMLS,
28983018,"A multicenter phase 1 study was conducted to determine the maximum-tolerated cumulative dose (MTCD) and evaluate safety, activity, pharmacokinetics, and immunogenicity of moxetumomab pasudotox in children, adolescents, and young adults with ALL (N = 55).",Phase I Clinical Trials,MEASURES,Drug Kinetics,UMLS,
28983018,"A multicenter phase 1 study was conducted to determine the maximum-tolerated cumulative dose (MTCD) and evaluate safety, activity, pharmacokinetics, and immunogenicity of moxetumomab pasudotox in children, adolescents, and young adults with ALL (N = 55).",NCT00659425,MEASURES,Drug Kinetics,UMLS,
28983018,"A multicenter phase 1 study was conducted to determine the maximum-tolerated cumulative dose (MTCD) and evaluate safety, activity, pharmacokinetics, and immunogenicity of moxetumomab pasudotox in children, adolescents, and young adults with ALL (N = 55).",NCT00659425,ISA,Immunogenicity Study,UMLS,
28983018,"A multicenter phase 1 study was conducted to determine the maximum-tolerated cumulative dose (MTCD) and evaluate safety, activity, pharmacokinetics, and immunogenicity of moxetumomab pasudotox in children, adolescents, and young adults with ALL (N = 55).",Immunogenicity Study,ASSOCIATED_WITH,Immunotoxin HA22,UMLS,
28983018,"A multicenter phase 1 study was conducted to determine the maximum-tolerated cumulative dose (MTCD) and evaluate safety, activity, pharmacokinetics, and immunogenicity of moxetumomab pasudotox in children, adolescents, and young adults with ALL (N = 55).",Identify product efficacy and safety issues,ASSOCIATED_WITH,Immunotoxin HA22,UMLS,
28983018,"A multicenter phase 1 study was conducted to determine the maximum-tolerated cumulative dose (MTCD) and evaluate safety, activity, pharmacokinetics, and immunogenicity of moxetumomab pasudotox in children, adolescents, and young adults with ALL (N = 55).",Drug Kinetics,ASSOCIATED_WITH,Immunotoxin HA22,UMLS,
28983018,"A multicenter phase 1 study was conducted to determine the maximum-tolerated cumulative dose (MTCD) and evaluate safety, activity, pharmacokinetics, and immunogenicity of moxetumomab pasudotox in children, adolescents, and young adults with ALL (N = 55).",Immunotoxin HA22,ADMINISTERED_TO,Child,UMLS,
28983018,"A multicenter phase 1 study was conducted to determine the maximum-tolerated cumulative dose (MTCD) and evaluate safety, activity, pharmacokinetics, and immunogenicity of moxetumomab pasudotox in children, adolescents, and young adults with ALL (N = 55).",Immunotoxin HA22,ADMINISTERED_TO,Adolescent,UMLS,
28983018,"A multicenter phase 1 study was conducted to determine the maximum-tolerated cumulative dose (MTCD) and evaluate safety, activity, pharmacokinetics, and immunogenicity of moxetumomab pasudotox in children, adolescents, and young adults with ALL (N = 55).",Immunotoxin HA22,ADMINISTERED_TO,Young Adult,UMLS,
28983018,"A multicenter phase 1 study was conducted to determine the maximum-tolerated cumulative dose (MTCD) and evaluate safety, activity, pharmacokinetics, and immunogenicity of moxetumomab pasudotox in children, adolescents, and young adults with ALL (N = 55).",NCT00659425,ASSOCIATED_WITH,Childhood acute lymphoblastic leukemia,UMLS,
28983018,Moxetumomab pasudotox was administered as a 30-minute IV infusion at doses of 5 to 50 µg/kg every other day for 6 (cohorts A and B) or 10 (cohort C) doses in 21-day cycles. ,Immunotoxin HA22,ASSOCIATED_WITH,Intravenous infusion procedures,UMLS,
28983018,Cohorts B and C received dexamethasone prophylaxis against capillary leak syndrome (CLS). ,Dexamethasone,TREATS,Capillary leak syndrome,UMLS,
28983018,Cohorts B and C received dexamethasone prophylaxis against capillary leak syndrome (CLS). ,Steroid prophylaxis,TREATS,Capillary leak syndrome,UMLS,
28983018,"The most common treatment-related adverse events were reversible weight gain, hepatic transaminase elevation, and hypoalbuminemia",Weight Gain Adverse Event,ASSOCIATED_WITH,Immunotoxin HA22,UMLS,
28983018,"The most common treatment-related adverse events were reversible weight gain, hepatic transaminase elevation, and hypoalbuminemia",Nonspecific elevation of levels of transaminase or lactic acid dehydrogenase,ASSOCIATED_WITH,Immunotoxin HA22,UMLS,
28983018,"The most common treatment-related adverse events were reversible weight gain, hepatic transaminase elevation, and hypoalbuminemia",Nonspecific elevation of levels of transaminase or lactic acid dehydrogenase,ISA,Adverse event,UMLS,
28983018,"The most common treatment-related adverse events were reversible weight gain, hepatic transaminase elevation, and hypoalbuminemia",Serum Hypoalbuminemia Averse Event,ASSOCIATED_WITH,Immunotoxin HA22,UMLS,
28983018,Dose-limiting CLS occurred in 2 of 4 patients receiving 30 µg/kg of moxetumomab pasudotox every other day for 6 doses.,Capillary leak syndrome,ASSOCIATED_WITH,Immunotoxin HA22,UMLS,
28983018,Dose-limiting CLS occurred in 2 of 4 patients receiving 30 µg/kg of moxetumomab pasudotox every other day for 6 doses.,Capillary leak syndrome,ASSOCIATED_WITH,Dose-limiting,UMLS,Not quite correct relationship
28983018,Incorporation of dexamethasone prevented further dose-limiting CLS. ,Dexamethasone,PREVENTS,*Dose-limiting Capillary leak syndrome*,UMLS,
28983018,"Six of 14 patients receiving 50 µg/kg of moxetumomab pasudotox for 10 doses developed hemolytic uremic syndrome (HUS), thrombotic microangiopathy (TMA), or HUS-like events, exceeding the MTCD.",Hemolytic-Uremic Syndrome,ASSOCIATED_WITH,Immunotoxin HA22,UMLS,
28983018,"Six of 14 patients receiving 50 µg/kg of moxetumomab pasudotox for 10 doses developed hemolytic uremic syndrome (HUS), thrombotic microangiopathy (TMA), or HUS-like events, exceeding the MTCD.",Thrombotic Microangiopathy Adverse Event,ASSOCIATED_WITH,Immunotoxin HA22,UMLS,
28983018,"Six of 14 patients receiving 50 µg/kg of moxetumomab pasudotox for 10 doses developed hemolytic uremic syndrome (HUS), thrombotic microangiopathy (TMA), or HUS-like events, exceeding the MTCD.",Thrombotic Microangiopathy Adverse Event,ASSOCIATED_WITH,Dose-limiting,UMLS,
28983018,"Six of 14 patients receiving 50 µg/kg of moxetumomab pasudotox for 10 doses developed hemolytic uremic syndrome (HUS), thrombotic microangiopathy (TMA), or HUS-like events, exceeding the MTCD.",Hemolytic-Uremic Syndrome,ASSOCIATED_WITH,Dose-limiting,UMLS,
28983018,"Among 47 evaluable patients, an objective response rate of 32% was observed, including 11 (23%) composite complete responses, 5 of which were minimal residual disease negative by flow cytometry. ",Minimal residual disease negativity,PROCESS_OF,Patient,UMLS,
28983018,"Among 47 evaluable patients, an objective response rate of 32% was observed, including 11 (23%) composite complete responses, 5 of which were minimal residual disease negative by flow cytometry. ",Flow cytometry,MEASURES,Minimal residual disease response,UMLS,
28983018,"Among 47 evaluable patients, an objective response rate of 32% was observed, including 11 (23%) composite complete responses, 5 of which were minimal residual disease negative by flow cytometry. ",Immunotoxin HA22,CAUSES,Complete therapeutic response,UMLS,Would want MAY_CAUSE
28983018,"Among 47 evaluable patients, an objective response rate of 32% was observed, including 11 (23%) composite complete responses, 5 of which were minimal residual disease negative by flow cytometry. ",Immunotoxin HA22,CAUSES,Minimal residual disease negativity,UMLS,
28983018,Moxetumomab pasudotox showed a manageable safety profile and evidence of activity in relapsed or refractory childhood ALL.,Immunotoxin HA22,TREATS,Recurrent childhood acute lymphoblastic leukemia,UMLS,
28983018,Moxetumomab pasudotox showed a manageable safety profile and evidence of activity in relapsed or refractory childhood ALL.,Immunotoxin HA22,TREATS,Refractory childhood acute lymphoblsatic leukemia,UMLS,
,,,,,,
28809761,The t(12;21)(p13;q22) in Pediatric B-Acute Lymphoblastic Leukemia: An Update.,B-cell childhood acute lymphoblastic leukemia,DISEASE_MAY_HAVE_MOLECULAR_ABNORMALITY,t(12;21)(p13.2;q22.1),NCI Thesaurus,
